element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
S,16,,,0.3695796305,0.0000000022,20g,2.2507e+12,AA,0.00,(27057768.27),1s,2S,1/2,5p,2P*,3/2,,T7771,,
S,16,,,0.3696007734,0.0000000025,10g,2.2423e+12,AA,0.00,(27056220.44),1s,2S,1/2,5p,2P*,1/2,,T7771,,
S,16,,,0.378431020,0.000000003,40g,4.4646e+12,AA,0.00,(26424895.05),1s,2S,1/2,4p,2P*,3/2,,T7771,,
S,16,,,0.378474334,0.000000004,20g,4.4526e+12,AA,0.00,(26421870.95),1s,2S,1/2,4p,2P*,1/2,,T7771,,
S,15,,,0.38828,0.00010,10g,4.70e+11,C+,0.0,(25754624),1s2,1S,0,1s.10p,1P*,1,,T5072,,
S,15,,,0.38915,0.00010,15g,6.45e+11,C+,0.0,(25696705),1s2,1S,0,1s.9p,1P*,1,,T5072,,
S,15,,,0.39039,0.00010,20g,9.21e+11,C+,0.0,(25615736),1s2,1S,0,1s.8p,1P*,1,,T5072,,
S,15,,,0.39219,0.00010,25g,1.38e+12,C+,0.0,(25497639),1s2,1S,0,1s.7p,1P*,1,,T5072,,
S,15,0.39493,0.00010,0.39501,0.00010,35g,2.19e+12,C+,0.0,(25315705),1s2,1S,0,1s.6p,1P*,1,,T5072,L2560c7,
S,16,,,0.399080124,0.000000005,130g,1.0949e+13,AA,0.00,(25057624.8),1s,2S,1/2,3p,2P*,3/2,,T7771,,
S,16,,,0.399194352,0.000000008,70g,1.0941e+13,AA,0.00,(25050454.6),1s,2S,1/2,3p,2P*,1/2,,T7771,,
S,15,0.39983,0.00010,0.39978,0.00010,50g,3.82e+12,C+,0.0,(25014026),1s2,1S,0,1s.5p,1P*,1,,T5072,L2560c7,
S,15,,,0.39987,0.00010,2g,,,0.0,(25007821),1s2,1S,0,1s.5p,3P*,1,,,,
S,15,0.40892,0.00010,0.40885,0.00010,100g,7.53e+12,C+,0.0,(24458859),1s2,1S,0,1s.4p,1P*,1,,T5072,L2560c7,
S,15,,,0.40906,0.00010,5g,,,0.0,(24446586),1s2,1S,0,1s.4p,3P*,1,,,,
S,15,0.42999,0.00010,0.42991,0.00010,400g,2.03e+13,A,0.0,(23260450),1s2,1S,0,1s.3p,1P*,1,,T7549,"L2560c7,L4110c7",
S,15,0.43055,0.00010,0.43047,0.00010,20g,1.85e+11,B,0.0,(23230578),1s2,1S,0,1s.3p,3P*,1,,T7549,L4110c7,
S,14,,,0.43570,0.00010,14g*,,,0,22951600,1s2.2s,2S,1/2,1s.2s.(1S).3p,2P*,3/2,,,L4466c7,
S,14,0.43581,0.00010,0.43578,0.00010,14g*,,,0,22947400,1s2.2s,2S,1/2,1s.2s.(1S).3p,2P*,1/2,,,L4466c7,
S,14,0.43761,0.00010,0.43712,0.00010,17*,,,224366,[23101500],1s2.2p,2P*,1/2,1s.2p.(1P*).3p,2P,3/2,,,L4466c7,
S,14,0.43761,0.00010,0.43723,0.00010,17*,,,224366,[23095400],1s2.2p,2P*,1/2,1s.2p.(1P*).3p,2D,3/2,,,L4466c7,
S,14,0.43761,0.00010,0.43723,0.00010,17*,,,224366,[23095400],1s2.2p,2P*,1/2,1s.2p.(1P*).3p,2P,1/2,,,L4466c7,
S,14,0.43761,0.00010,0.43741,0.00010,17*,,,239429,[23101500],1s2.2p,2P*,3/2,1s.2p.(1P*).3p,2P,3/2,,,L4466c7,
S,14,0.43761,0.00010,0.43751,0.00010,17*,,,239429,[23096000],1s2.2p,2P*,3/2,1s.2p.(1P*).3p,2D,5/2,,,L4466c7,
S,14,0.43761,0.00010,0.43752,0.00010,17*,,,239429,[23095400],1s2.2p,2P*,3/2,1s.2p.(1P*).3p,2D,3/2,,,L4466c7,
S,14,0.43761,0.00010,0.43789,0.00010,17*,,,224366,[23061100],1s2.2p,2P*,1/2,1s.2p.(3P*).3p,2S,1/2,,,L4466c7,
S,14,0.43826,0.00010,0.43814,0.00010,29g*,,,0,22823800,1s2.2s,2S,1/2,1s.2s.(3S).3p,2P*,1/2,,,L4466c7,
S,14,0.43826,0.00010,0.43816,0.00010,29g*,,,0,22822700,1s2.2s,2S,1/2,1s.2s.(3S).3p,2P*,3/2,,,L4466c7,
S,14,0.43826,0.00010,0.43818,0.00010,29*,,,239429,[23061100],1s2.2p,2P*,3/2,1s.2p.(3P*).3p,2S,1/2,,,L4466c7,
S,14,0.43886,0.00010,0.43869,0.00010,91*,,,224366,[23019500],1s2.2p,2P*,1/2,1s.2p.(3P*).3p,2D,3/2,,,L4466c7,
S,14,0.43886,0.00010,0.43876,0.00010,91*,,,224366,[23015900],1s2.2p,2P*,1/2,1s.2s.(1S).3d,2D,3/2,,,L4466c7,
S,14,0.43886,0.00010,0.43877,0.00010,91*,,,239429,[23030400],1s2.2p,2P*,3/2,1s.2p.(3P*).3p,2D,5/2,,,L4466c7,
S,14,0.43886,0.00010,0.43898,0.00010,91*,,,239429,[23019500],1s2.2p,2P*,3/2,1s.2p.(3P*).3p,2D,3/2,,,L4466c7,
S,14,0.43886,0.00010,0.43905,0.00010,91*,,,239429,[23015900],1s2.2p,2P*,3/2,1s.2s.(1S).3d,2D,5/2,,,L4466c7,
S,14,0.43961,0.00010,0.43974,0.00010,10,,,224366,[22965100],1s2.2p,2P*,1/2,1s.2p.(3P*).3p,2P,1/2,,,L4466c7,
S,14,0.44003,0.00010,0.44005,0.00010,10,,,239429,[22964100],1s2.2p,2P*,3/2,1s.2p.(3P*).3p,2P,3/2,,,L4466c7,
