element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Sc,19,1.3236,0.0010,1.3240,0.0010,1*,2.8e+12,B',357400,7910000,1s2.2p,2P*,3/2,1s2.4d,2D,5/2,,T3015LS,L1816,
Sc,19,1.3236,0.0010,1.3242,0.0010,1*,4.600e+11,C+',357400,7909000,1s2.2p,2P*,3/2,1s2.4d,2D,3/2,,T3015LS,L1816,
Sc,19,1.6819,0.0010,1.6818,0.0010,2g,2.85e+12,B,0,5946000,1s2.2s,2S,1/2,1s2.3p,2P*,3/2,,T3015,L1816,
Sc,19,1.6861,0.0010,1.6861,0.0010,2g,2.91e+12,B,0,5931000,1s2.2s,2S,1/2,1s2.3p,2P*,1/2,,T3015,L1816,
Sc,18,,,1.7444,0.0010,2g,2.2e+12,C,321240,6054000,1s2.2s.2p,3P*,2,1s2.2p.3p,3D,3,,T4591,L2563,
Sc,18,1.7570,0.0010,1.7569,0.0010,1bl,2.6e+12,C,0,5692000,1s2.2s2,1S,0,1s2.2s.3p,1P*,1,,T4591,L2563,
Sc,19,1.7634,0.0010,1.7633,0.0010,2,7.21e+12,B',306700,5978000,1s2.2p,2P*,1/2,1s2.3d,2D,3/2,,T5297interp,L1816,
Sc,19,1.7779,0.0010,1.7779,0.0010,3*,8.58e+12,B',357400,5982000,1s2.2p,2P*,3/2,1s2.3d,2D,5/2,,T5297interp,L1816,
Sc,19,1.7779,0.0010,1.7792,0.0010,3*,1.4e+12,B',357400,5978000,1s2.2p,2P*,3/2,1s2.3d,2D,3/2,,T5297interp,L1816,
Sc,18,1.8213,0.0010,1.8214,0.0010,3g,6.5e+12,C,286860,5777000,1s2.2s.2p,3P*,1,1s2.2s.3d,3D,2,,T4591,L2563,
Sc,18,1.8337,0.0010,1.8336,0.0010,4g,8.5e+12,C,321240,5775000,1s2.2s.2p,3P*,2,1s2.2s.3d,3D,3,,T4591,L2563,
Sc,17,,,1.8413,0.0010,1g,,,0,5431000,2s2.2p,2P*,1/2,2s.2p.(3P*).3p,2D,3/2,,,L2563,
Sc,17,1.848,0.010,1.8480,0.0010,"2g,bl",,,45637,5457000,2s2.2p,2P*,3/2,2s.2p.(3P*).3p,2D,5/2,,,L2563,
Sc,18,1.8581,0.0010,1.8582,0.0010,2,1.0e+13,C,778400,6160000,1s2.2p2,3P,2,1s2.2p.3d,3D*,3,,T4591,L2563,
Sc,18,1.8649,0.0010,1.8650,0.0010,3,1.48e+13,C,856160,6218000,1s2.2p2,1D,2,1s2.2p.3d,1F*,3,,T4591,L2563,
Sc,17,1.878,0.010,1.8779,0.0010,1g,,,0,5325000,2s2.2p,2P*,1/2,2s.2p.(3P*).3p,2P,1/2,,,L2563,
Sc,17,1.883,0.010,1.8831,0.0010,1g,,,45637,5356000,2s2.2p,2P*,3/2,2s.2p.(3P*).3p,2P,3/2,,,L2563,
Sc,17,1.9069,0.0010,1.9068,0.0010,6,,,520630,5765000,2s.2p2,2D,5/2,2s.2p.(1P*).3d,2F*,7/2,,,L2563,
Sc,17,1.916,0.010,1.9161,0.0010,"7g,bl",5.9e+12,D,0,5219000,2s2.2p,2P*,1/2,2s2.3d,2D,3/2,,T5297interp,L2563,
Sc,17,1.922,0.010,1.9221,0.0010,6bl*,,,329320,5532000,2s.2p2,4P,5/2,2s.2p.(3P*).3d,4P*,5/2,,,L2563,
Sc,17,1.9311,0.0010,1.9311,0.0010,9g,6.9e+12,D,45637,5224000,2s2.2p,2P*,3/2,2s2.3d,2D,5/2,,T5297interp,L2563,
Sc,17,1.9598,0.0010,1.9600,0.0010,5,,,694950,5797000,2s.2p2,2P,3/2,2s.2p.(1P*).3d,2D*,5/2,,,L2563,
Sc,17,1.9651,0.0010,1.9653,0.0010,5,,,520630,5609000,2s.2p2,2D,5/2,2s.2p.(3P*).3d,2F*,7/2,,,L2563,
Sc,17,1.9732,0.0010,1.9730,0.0010,3,,,516640,5585000,2s.2p2,2D,3/2,2s.2p.(3P*).3d,2F*,5/2,,,L2563,
Sc,17,1.9967,0.0010,1.9967,0.0010,3,,,520630,5529000,2s.2p2,2D,5/2,2s.2p.(3P*).3d,2D*,5/2,,,L2563,
