element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,
Se,5,59.60,,285,,,,,,,L710,
Se,5,60.10,,285,,,,,,,L710,
Se,5,60.87,,220,,,,,,,L710,
Se,5,61.30,,360,,,,,,,L710,
Se,5,61.43,,285,,,,,,,L710,
Se,4,63.60,,285,,,,,,,L710,
Se,4,65.27,,360,,,,,,,L710,
Se,4,65.42,,285,,,,,,,L710,
Se,4,67.01,,450,,,,,,,L710,
Se,4,67.19,,285,,,,,,,L710,
Se,3,70.92,,220,,,,,,,L3478,
Se,3,70.94,,220,,,,,,,L3478,
Se,3,72.06,,220,,,,,,,L3478,
Se,4,72.28,,220,,,,,,,L710,
Se,3,72.43,,360,,,,,,,L3478,
Se,3,72.64,,285,,,,,,,L3478,
Se,4,73.46,,285,,,,,,,L710,
Se,3,73.72,,220,,,,,,,L3478,
Se,3,74.19,,220,,,,,,,L3478,
Se,4,74.64,,450,,,,,,,L710,
Se,4,75.90,,285,,,,,,,L710,
Se,5,75.91,,450,,,,,,,L710,
Se,4,77.65,,285,,,,,,,L710,
Se,3,77.73,,285,,,,,,,L3478,
Se,5,78.58,,285,,,,,,,L710,
Se,3,79.08,,220,,,,,,,L3478,
Se,4,80.38,,285,,,,,,,L710,
Se,5,80.43,,285,,,,,,,L710,
Se,5,80.87,,360,,,,,,,L710,
Se,5,81.48,,220,,,,,,,L710,
Se,5,82.07,,220,,,,,,,L710,
Se,2,82.85,,285,,,,,,,L3276,
Se,5,83.03,,360,,,,,,,L710,
Se,2,83.27,,360,,,,,,,L3276,
Se,5,83.95,,450,,,,,,,L710,
Se,3,84.30,,360,,,,,,,L3478,
Se,5,84.58,,360,,,,,,,L710,
Se,3,87.92,,220,,,,,,,L3478,
Se,2,90.66,,285,,,,,,,L3276,
Se,2,91.29,,360,,,,,,,L3276,
Se,3,95.37,,285,,,,,,,L3478,
Se,3,95.44,,220,,,,,,,L3478,
Se,3,95.47,,220,,,,,,,L3478,
Se,4,95.96,,360,,,,,,,L710,
Se,3,97.41,,160,,,,,,,L3478,
Se,3,97.48,,360,,,,,,,L3478,
Se,4,99.67,,450,,,,,,,L710,
Se,2,101.34,,360,,,,,,,L3276,
Se,2,101.40,,360,,,,,,,L3276,
Se,2,103.36,,450,,,,,,,L3276,
Se,2,104.96,,450,,,,,,,L3276,
Se,2,105.74,,360,,,,,,,L3276,
Se,3,107.98,,285,,,,,,,L3478,
Se,5,109.47,,360,,,,,,,L710,
Se,2,109.78,,285,,,,,,,L3276,
Se,3,109.91,,360,,,,,,,L3478,
Se,3,111.92,,450,,,,,,,L3478,
Se,2,114.19,,360,,,,,,,L3276,
Se,5,115.10,,220,,,,,,,L710,
Se,2,115.60,,220,,,,,,,L3276,
Se,2,115.69,,285,,,,,,,L3276,
Se,2,116.85,,285,,,,,,,L3276,
Se,2,119.23,,450,,,,,,,L3276,
Se,2,120.57,,220,,,,,,,L3276,
Se,5,122.76,,450,,,,,,,L710,
Se,2,123.49,,220,,,,,,,L3276,
Se,2,129.10,,285,,,,,,,L3276,
Se,4,130.72,,220,,,,,,,L710,
Se,2,130.89,,285,,,,,,,L3276,
Se,4,131.44,,285,,,,,,,L710,
Se,1,140.54,,100,,,,,,,L3316,
Se,1,140.64,,100,,,,,,,L3316,
Se,1,140.66,,100,,,,,,,L3316,
Se,1,143.53,,120,,,,,,,L3316,
Se,1,143.58,,120,,,,,,,L3316,
Se,1,144.48,,100,,,,,,,L3316,
Se,1,144.68,,100,,,,,,,L3316,
Se,1,144.70,,100,,,,,,,L3316,
Se,1,144.92,,150,,,,,,,L3316,
Se,1,145.63,,120,,,,,,,L3316,
Se,1,150.09,,150,,,,,,,L3316,
Se,1,153.04,,250,,,,,,,L3316,
Se,1,153.13,,150,,,,,,,L3316,
Se,1,153.18,,200,,,,,,,L3316,
Se,1,154.71,,120,,,,,,,L3316,
Se,1,156.03,,120,,,,,,,L3316,
Se,1,157.53,,150,,,,,,,L3316,
Se,1,157.76,,150,,,,,,,L3316,
Se,1,157.79,,150,,,,,,,L3316,
Se,1,157.95,,150,,,,,,,L3316,
Se,1,158.00,,200,,,,,,,L3316,
Se,1,158.75,,150,,,,,,,L3316,
Se,1,159.32,,150,,,,,,,L3316,
Se,1,160.65,,250,,,,,,,L3316,
Se,1,161.07,,100,,,,,,,L3316,
Se,1,161.13,,100,,,,,,,L3316,
Se,1,161.74,,200,,,,,,,L3316,
Se,1,162.12,,150,,,,,,,L3316,
Se,1,162.27,,100,,,,,,,L3316,
Se,1,162.62,,120,,,,,,,L3316,
Se,1,164.34,,150,,,,,,,L3316,
Se,1,167.12,,250,,,,,,,L3316,
Se,1,167.53,,250,,,,,,,L3316,
Se,1,169.07,,250,,,,,,,L3316,
Se,1,179.33,,250,,,,,,,L3316,
Se,1,179.53,,300,,,,,,,L3316,
Se,1,185.52,,300,,,,,,,L3316,
Se,1,185.88,,250,,,,,,,L3316,
Se,1,189.86,,400,,,,,,,L3316,
Se,1,191.38,,350,,,,,,,L3316,
Se,1,191.92,,300,,,,,,,L3316,
Se,1,196.09,,500,,,,,,,L3316,
Se,1,199.51,,150,,,,,,,L3316,
Se,1,203.98,,500,,,,,,,L3316,
Se,3,205.75,,285,,,,,,,L3524,
Se,1,207.48,,500,,,,,,,L3316,
Se,4,209.00,,220,,,,,,,L710,
Se,4,213.66,,285,,,,,,,L710,
Se,1,216.42,,500,,,,,,,L3316,
Se,4,216.52,,160,,,,,,,L710,
Se,4,216.66,,160,,,,,,,L710,
Se,1,233.28,,150,,,,,,,L3316,
Se,1,241.35,,600,,,,,,,L3316,
Se,1,254.80,,300,,,,,,,L3316,
Se,4,266.55,,360,,,,,,,L710,
Se,4,272.43,,285,,,,,,,L710,
Se,3,276.72,,285,,,,,,,L3524,
Se,3,277.38,,220,,,,,,,L3524,
Se,4,295.16,,160,,,,,,,L710,
Se,2,303.87,,220,,,,,,,L3276,
Se,2,304.13,,220,,,,,,,L3276,
Se,3,337.98,,285,,,,,,,L3478,
Se,3,338.72,,450,,,,,,,L3478,
Se,3,341.39,,450,,,,,,,L3478,
Se,3,342.84,,285,,,,,,,L3478,
Se,3,345.78,,450,,,,,,,L3478,
Se,3,354.36,,360,,,,,,,L3478,
Se,3,357.02,,285,,,,,,,L3478,
Se,3,363.76,,450,,,,,,,L3478,
Se,3,371.17,,360,,,,,,,L3478,
Se,3,373.87,,450,,,,,,,L3478,
Se,3,374.30,,285,,,,,,,L3524,
Se,3,380.09,,450,,,,,,,L3478,
Se,3,404.67,,360,,,,,,,L3478,
Se,2,407.02,,285,,,,,,,L3276,
Se,3,408.32,,220,,,,,,,L3524,
Se,3,416.91,,450,,,,,,,L3524,
Se,2,417.53,,360,,,,,,,L3276,
Se,2,418.09,,450,,,,,,,L3276,
Se,1,432.87,,120,,,,,,,L3316,
Se,1,433.03,,100,,,,,,,L3316,
Se,2,438.29,,285,,,,,,,L3276,
Se,2,444.60,,285,,,,,,,L3276,
Se,2,444.92,,220,,,,,,,L3276,
Se,2,446.76,,285,,,,,,,L3276,
Se,3,463.79,,220,,,,,,,L3478,
Se,1,473.08,,500,,,,,,,L3316,
Se,1,473.90,,400,,,,,,,L3316,
Se,1,474.22,,300,,,,,,,L3316,
Se,2,484.06,,285,,,,,,,L3276,
Se,2,484.50,,360,,,,,,,L3276,
Se,2,522.75,,450,,,,,,,L3276,
Se,2,530.54,,360,,,,,,,L3276,
Se,1,536.55,,100,,,,,,,L3316,
Se,1,536.99,,120,,,,,,,L3316,
Se,1,537.41,,110,,,,,,,L3316,
Se,2,552.24,,285,,,,,,,L3276,
Se,2,556.69,,285,,,,,,,L3276,
Se,2,586.63,,285,,,,,,,L3276,
Se,2,605.60,,450,,,,,,,L3276,
Se,3,630.38,,285,,,,,,,L3478,
Se,1,632.56,,200,,,,,,,L3316,
Se,2,644.42,,360,,,,,,,L3276,
Se,2,649.05,,285,,,,,,,L3276,
Se,2,653.50,,285,,,,,,,L3276,
Se,1,683.13,,150,,,,,,,L3316,
Se,1,699.0690,,120,,,,,,,L1791,
Se,1,699.1792,,100,,,,,,,L1791,
Se,1,701.0809,,200,,,,,,,L1791,
Se,1,701.3875,,150,,,,,,,L1791,
Se,1,706.2065,,300,,,,,,,L1791,
Se,1,757.51,,200,,,,,,,L3316,
Se,1,758.34,,250,,,,,,,L3316,
Se,1,759.22,,150,,,,,,,L3316,
Se,1,760.68,,120,,,,,,,L3316,
Se,1,800.10,,300,,,,,,,L3316,
Se,1,803.64,,200,,,,,,,L3316,
Se,1,806.09,,120,,,,,,,L3316,
Se,1,806.53,,120,,,,,,,L3316,
Se,1,808.11,,120,,,,,,,L3316,
Se,1,809.32,,150,,,,,,,L3316,
Se,1,809.47,,150,,,,,,,L3316,
Se,1,814.93,,180,,,,,,,L3316,
Se,1,815.20,,150,,,,,,,L3316,
Se,1,815.77,,200,,,,,,,L3316,
Se,1,816.31,,180,,,,,,,L3316,
Se,1,818.29,,150,,,,,,,L3316,
Se,1,818.50,,100,,,,,,,L3316,
Se,1,819.46,,120,,,,,,,L3316,
Se,1,844.047,,150,,,,,,,L2647,
Se,1,845.038,,150,,,,,,,L2647,
Se,1,874.233,,150,,,,,,,L2647,
Se,1,891.886,,300,,,,,,,L2647,
Se,1,896.969,,100,,,,,,,L2647,
Se,1,900.197,,200,,,,,,,L2647,
Se,1,903.861,,200,,,,,,,L2647,
Se,1,908.314,,80,,,,,,,L2647,
Se,1,908.879,,120,,,,,,,L2647,
Se,1,914.083,,80,,,,,,,L2647,
Se,1,918.188,,60,,,,,,,L2647,
Se,1,927.112,,60,,,,,,,L2647,
Se,1,943.250,,100,,,,,,,L2647,
Se,1,982.558,,60,,,,,,,L2647,
Se,1,1021.725,,200,,,,,,,L2647,
Se,1,1030.745,,377,,,,,,,L2647,
Se,1,1032.726,,900,,,,,,,L2647,
Se,1,1038.636,,640,,,,,,,L2647,
Se,1,1065.030,,124,,,,,,,L2647,
Se,1,1193.456,,125,,,,,,,L2647,
Se,1,1194.687,,275,,,,,,,L2647,
Se,1,1194.792,,100,,,,,,,L2647,
Se,1,1195.227,,105,,,,,,,L2647,
Se,1,1195.264,,170,,,,,,,L2647,
Se,1,1196.604,,100,,,,,,,L2647,
Se,1,1197.293,,205,,,,,,,L2647,
Se,1,1197.307,,115,,,,,,,L2647,
Se,1,1481.793,,315,,,,,,,L2647,
Se,1,1491.747,,410,,,,,,,L2647,
Se,1,1515.144,,500,,,,,,,L2647,
Se,1,1546.906,,115,,,,,,,L2647,
Se,1,1547.100,,320,,,,,,,L2647,
Se,1,1552.097,,265,,,,,,,L2647,
Se,1,1561.840,,395,,,,,,,L2647,
Se,1,1562.038,,115,,,,,,,L2647,
Se,1,1665.944,,360,,,,,,,L2647,
Se,1,1681.378,,505,,,,,,,L2647,
Se,1,1681.776,,165,,,,,,,L2647,
Se,1,1686.654,,205,,,,,,,L2647,
Se,1,1697.271,,115,,,,,,,L2647,
element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,
Se,1,2138.007,,235,,,,,,,L2647,
Se,1,2144.841,,680,,,,,,,L2647,
Se,1,2147.934,,415,,,,,,,L2647,
Se,1,2172.229,,270,,,,,,,L2647,
Se,1,2173.653,,240,,,,,,,L2647,
Se,1,2313.997,,105,,,,,,,L2647,
Se,1,2339.523,,150,,,,,,,L2647,
Se,1,2363.462,,110,,,,,,,L2647,
Se,1,2415.477,,265,,,,,,,L2647,
Se,1,2416.582,,170,,,,,,,L2647,
Se,1,2421.104,,185,,,,,,,L2647,
Se,1,2439.264,,375,,,,,,,L2647,
Se,1,2442.033,,160,,,,,,,L2647,
Se,1,2447.785,,225,,,,,,,L2647,
Se,1,2502.434,,255,,,,,,,L2647,
Se,1,2513.429,,510,,,,,,,L2647,

