element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Si,5,7.861,,1,,,,,,,,,,,,,L7358,
Si,5,7.890,,1,,,,,,,,,,,,,L7358,
Si,5,8.081,,2,,,,,,,,,,,,,L7358,
Si,5,8.111,,2,,,,,,,,,,,,,L7358,
Si,5,8.518,,10,,,,,,,,,,,,,L7358,
Si,5,8.558,,6,,,,,,,,,,,,,L7358,
Si,5,9.045,,4,,,,,,,,,,,,,L7358,
Si,5,9.085,,4,,,,,,,,,,,,,L7358,
Si,5,9.644,9.6440,15,2.36e+11,B+,0,1036915,2s2.2p6,1S,0,2s2.2p5.3d,1P*,1,,"c44,T6036",L7358,
Si,5,9.714,9.7143,10,2.42e+10,C,0,1029407,2s2.2p6,1S,0,2s2.2p5.3d,3D*,1,,c44,L7358,
Si,5,9.821,9.8209,2,6.88e+08,D,0,1018235.5,2s2.2p6,1S,0,2s2.2p5.3d,3P*,1,,c44,L7358,
Si,5,11.786,11.7853,20,3.57e+10,B+,0,848511.2,2s2.2p6,1S,0,2s2.2p5.3s,1P*,1,,T6577,L7358,
Si,5,11.897,11.8964,20,3.84e+09,D+,0,840590.0,2s2.2p6,1S,0,2s2.2p5.3s,3P*,1,,c44,L7358,
Si,4,45.782,45.7815,4,3.90e+08,B+,0.00,218428.67,2p6.3s,2S,1/2,2p6.4p,2P*,3/2,,c33,L6098,
Si,4,45.816,45.8155,3,4.05e+08,B+,0.00,218266.86,2p6.3s,2S,1/2,2p6.4p,2P*,1/2,,c33,L6098,
Si,4,51.512,51.5118,2,4.66e+08,B+,71287.54,265417.95,2p6.3p,2P*,1/2,2p6.5s,2S,1/2,,c33,L6098,
Si,4,51.635,51.6344,3,9.32e+08,A,71748.64,265417.95,2p6.3p,2P*,3/2,2p6.5s,2S,1/2,,c33,L6098,
Si,3,56.661,56.6613,8,1.21e+08,D+,0.00,176487.19,2p6.3s2,1S,0,3s.4p,1P*,1,,"c44,T7195,T5038",L4833,
Si,4,64.576,64.5762,2*,6.92e+08,A,160374.41,315230.27,2p6.3d,2D,5/2,2p6.6f,2F*,7/2,,c33,L6098,
Si,4,64.576,64.5762,2*,4.61e+07,B+,160374.41,315230.27,2p6.3d,2D,5/2,2p6.6f,2F*,5/2,,c33,L6098,
Si,4,64.576,64.5767,2*,6.46e+08,B+,160375.60,315230.27,2p6.3d,2D,3/2,2p6.6f,2F*,5/2,,c33,L6098,
Si,3,65.222,65.2219,6,2.67e+08,D+,52853.28,206176.08,3s.3p,3P*,1,3s.5s,3S,1,,"T6298c4,LS",L4833,
Si,3,65.333,65.3334,8,4.40e+08,D+,53115.01,206176.08,3s.3p,3P*,2,3s.5s,3S,1,,"T6298c4,LS",L4833,
Si,3,67.348,67.3477,5*,8.44e+06,E,53115.01,201598.28,3s.3p,3P*,2,3s.4d,3D,2,,c44,L4833,
Si,3,67.348,67.3479,5*,9.33e+05,E,53115.01,201597.73,3s.3p,3P*,2,3s.4d,3D,1,,c44,L4833,
Si,4,74.994,74.9937,5*,1.40e+09,A,160374.41,293718.99,2p6.3d,2D,5/2,2p6.5f,2F*,7/2,,c33,L6098,
Si,4,74.994,74.9937,5*,9.33e+07,B+,160374.41,293718.99,2p6.3d,2D,5/2,2p6.5f,2F*,5/2,,c33,L6098,
Si,3,80.007,80.0066,5,4.13e+08,D+,82884.41,207874.09,3s.3p,1P*,1,3s.5s,1S,0,,T6298c4,L4833,
Si,2,80.510,,10w,,,,,,,,,,,,,L3541,
Si,4,81.505,81.5053,7,1.18e+09,A,71287.54,193978.89,2p6.3p,2P*,1/2,2p6.4s,2S,1/2,,c33,L6098,
Si,4,81.813,81.8128,8,2.37e+09,A,71748.64,193978.89,2p6.3p,2P*,3/2,2p6.4s,2S,1/2,,c33,L6098,
Si,2,82.052,,20w,,,,,,,,,,,,,L3541,
