element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Sm,2,269.090,,45,,,,,,,,,,,,,L3475,
Sm,2,276.785,,85,,,,,,,,,,,,,L3475,
Sm,2,277.923,,85,,,,,,,,,,,,,L3475,
Sm,2,278.938,,150,,,,,,,,,,,,,L3475,
Sm,2,281.086,,120,,,,,,,,,,,,,L3475,
Sm,2,281.720,,85,,,,,,,,,,,,,L3475,
Sm,2,282.096,,29,,,,,,,,,,,,,L3475,
Sm,2,284.749,,60,,,,,,,,,,,,,L3475,
Sm,2,286.609,,120,,,,,,,,,,,,,L3475,
Sm,2,286.840,,70,,,,,,,,,,,,,L3475,
Sm,2,291.028,,130,,,,,,,,,,,,,L3475,
Sm,2,293.748,,85,,,,,,,,,,,,,L3475,
Sm,2,294.349,,70,,,,,,,,,,,,,L3475,
Sm,2,295.319,,150,,,,,,,,,,,,,L3475,
Sm,2,296.274,,85,,,,,,,,,,,,,L3475,
Sm,2,296.902,,160,,,,,,,,,,,,,L3475,
Sm,2,298.343,,100,,,,,,,,,,,,,L3475,
Sm,2,299.157,,60,,,,,,,,,,,,,L3475,
Sm,2,303.484,,150,,,,,,,,,,,,,L3475,
Sm,2,303.913,,100,,,,,,,,,,,,,L3475,
Sm,2,304.693,,120,,,,,,,,,,,,,L3475,
Sm,2,307.129,,120,,,,,,,,,,,,,L3475,
Sm,2,308.645,,100,,,,,,,,,,,,,L3475,
Sm,2,309.688,,120,,,,,,,,,,,,,L3475,
Sm,2,310.230,,100w,,,,,,,,,,,,,L3475,
Sm,2,310.652,,250,,,,,,,,,,,,,L3475,
Sm,2,311.020,,220,,,,,,,,,,,,,L3475,
Sm,2,311.772,,200,,,,,,,,,,,,,L3475,
Sm,2,313.630,,270,,,,,,,,,,,,,L3475,
Sm,2,313.997,,150,,,,,,,,,,,,,L3475,
Sm,2,314.719,,150,,,,,,,,,,,,,L3475,
Sm,2,315.210,,180,,,,,,,,,,,,,L3475,
Sm,2,315.252,,410,,,,,,,,,,,,,L3475,
Sm,2,316.230,,150,,,,,,,,,,,,,L3475,
Sm,2,316.988,,360,,,,,,,,,,,,,L3475,
Sm,2,317.812,,180,,,,,,,,,,,,,L3475,
Sm,2,318.392,,720,,,,,,,,,,,,,L3475,
Sm,2,318.701,,310,,,,,,,,,,,,,L3475,
Sm,2,318.722,,430,,,,,,,,,,,,,L3475,
Sm,2,318.779,,360,,,,,,,,,,,,,L3475,
Sm,2,319.301,,360,,,,,,,,,,,,,L3475,
Sm,2,319.618,,360,,,,,,,,,,,,,L3475,
Sm,2,320.180,,150,,,,,,,,,,,,,L3475,
Sm,2,320.490,,150,,,,,,,,,,,,,L3475,
Sm,2,320.718,,360,,,,,,,,,,,,,L3475,
Sm,2,320.817,,180,,,,,,,,,,,,,L3475,
Sm,2,321.173,,600,,,,,,,,,,,,,L3475,
Sm,2,321.412,,150,,,,,,,,,,,,,L3475,
Sm,2,321.526,,270,,,,,,,,,,,,,L3475,
Sm,2,321.685,,530,,,,,,,,,,,,,L3475,
Sm,2,321.861,,600,,,,,,,,,,,,,L3475,
Sm,2,321.943,,150,,,,,,,,,,,,,L3475,
Sm,2,322.684,,270,,,,,,,,,,,,,L3475,
Sm,2,322.850,,180,,,,,,,,,,,,,L3475,
Sm,2,322.878,,270,,,,,,,,,,,,,L3475,
Sm,2,323.056,,720,,,,,,,,,,,,,L3475,
Sm,2,323.153,,360,,,,,,,,,,,,,L3475,
Sm,2,323.195,,150,,,,,,,,,,,,,L3475,
Sm,2,323.368,,430,,,,,,,,,,,,,L3475,
Sm,2,323.664,,720,,,,,,,,,,,,,L3475,
Sm,2,323.789,,150,,,,,,,,,,,,,L3475,
Sm,2,323.966,,720,,,,,,,,,,,,,L3475,
Sm,2,324.116,,530,,,,,,,,,,,,,L3475,
Sm,2,324.159,,180,,,,,,,,,,,,,L3475,
Sm,2,324.204,,180,,,,,,,,,,,,,L3475,
Sm,2,324.469,,150,,,,,,,,,,,,,L3475,
Sm,2,324.975,,240,,,,,,,,,,,,,L3475,
Sm,2,325.037,,720,,,,,,,,,,,,,L3475,
Sm,2,325.340,,360,,,,,,,,,,,,,L3475,
Sm,2,325.394,,270,,,,,,,,,,,,,L3475,
Sm,2,325.438,,850,,,,,,,,,,,,,L3475,
Sm,2,325.563,,110,,,,,,,,,,,,,L3475,
Sm,2,326.228,,360,,,,,,,,,,,,,L3475,
Sm,2,326.494,,430,,,,,,,,,,,,,L3475,
Sm,2,327.049,,180,,,,,,,,,,,,,L3475,
Sm,2,327.068,,180,,,,,,,,,,,,,L3475,
Sm,2,327.248,,430bl,,,,,,,,,,,,,L3475,
Sm,2,327.281,,430,,,,,,,,,,,,,L3475,
Sm,2,327.348,,430,,,,,,,,,,,,,L3475,
