element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Sn,5,35.514,0.010,,,120,,,,,,,,,,,,,L4099,
Sn,5,36.101,0.010,,,150,,,,,,,,,,,,,L4099,
Sn,5,37.255,0.010,,,100,,,,,,,,,,,,,L4099,
Sn,3,51.0066,0.0005,51.00647,0.00007,20,,,0.00,196053.57,4d10.5s2,1S,0,4d10.5s.7p,1P*,1,,,L18161,
Sn,3,51.1836,0.0005,51.18362,0.00009,12,,,0.00,195375.0,4d10.5s2,1S,0,4d10.5s.7p,3P*,1,,,L18161,
Sn,3,60.255,0.004,60.2547,0.0004,858,,,53548.27,219510.3,4d10.5s.5p,3P*,0,4d10.5s.9s,3S,1,,,L17864,
Sn,4,60.523,0.010,,,50,,,,,,,,,,,,,u14,
Sn,3,60.702,0.004,60.702,0.004,863,,,55196.47,219937?,4d10.5s.5p,3P*,1,4d10.5s.8d,3D,2,,,L17864,
Sn,3,60.859,0.004,60.8591,0.0004,841,,,55196.47,219510.3,4d10.5s.5p,3P*,1,4d10.5s.9s,3S,1,,,L17864,
Sn,3,61.4528,0.0005,61.45277,0.00021,180,,,0.00,162726.6,4d10.5s2,1S,0,4d10.5s.6p,1P*,1,,,L18161,
Sn,4,61.904,0.010,,,50,,,,,,,,,,,,,u14,
Sn,3,62.204,0.004,62.2040,0.0005,848,,,59228.13,219989.4,4d10.5s.5p,3P*,2,4d10.5s.8d,3D,3,,,L17864,
Sn,3,62.390,0.004,62.3900,0.0004,763,,,59228.13,219510.3,4d10.5s.5p,3P*,2,4d10.5s.9s,3S,1,,,L17864,
Sn,3,62.4154,0.0005,62.41543,0.00016,120,,,0.00,160216.8,4d10.5s2,1S,0,4d10.5s.6p,3P*,1,,,L18161,
Sn,4,62.873,0.010,,,50,,,,,,,,,,,,,u14,
Sn,3,64.4721,0.0005,64.4721,0.0007,20,,,53548.27,208654.1,4d10.5s.5p,3P*,0,4d10.5s.7d,3D,1,,,L18161,
Sn,3,64.7607,0.0005,64.7609,0.0004,15,,,53548.27,207962.5,4d10.5s.5p,3P*,0,4d10.5s.8s,3S,1,,,L18161,
Sn,3,65.1438,0.0005,65.14385,0.00022,40,,,55196.47,208702.9,4d10.5s.5p,3P*,1,4d10.5s.7d,3D,2,,,L18161,
Sn,3,65.4595,0.0005,65.4596,0.0004,45,,,55196.47,207962.5,4d10.5s.5p,3P*,1,4d10.5s.8s,3S,1,,,L18161,
Sn,3,66.8667,0.0005,66.8667,0.0003,60,,,59228.13,208779.4,4d10.5s.5p,3P*,2,4d10.5s.7d,3D,3,,,L18161,
Sn,3,67.2341,0.0005,67.2340,0.0004,70,,,59228.13,207962.5,4d10.5s.5p,3P*,2,4d10.5s.8s,3S,1,,,L18161,
Sn,3,71.300,0.004,71.300,0.004,819,,,79911.60,220164?,4d10.5s.5p,1P*,1,4d10.5s.8d,1D,2,,,L17864,
Sn,3,71.474,0.004,71.474,0.004,881,,,79911.60,219822?,4d10.5s.5p,1P*,1,4d10.5s.9s,1S,0,,,L17864,
Sn,3,74.3525,0.0005,74.3526,0.0003,10,,,55196.47,189690.7,4d10.5s.5p,3P*,1,4d10.5s.6d,1D,2,,,L18161,
Sn,3,74.4213,0.0005,74.4212,0.0003,130w,,,53548.27,187918.5,4d10.5s.5p,3P*,0,4d10.5s.6d,3D,1,,,L18161,
Sn,3,75.1167,0.0005,75.1169,0.0003,80,,,53548.27,186674.1,4d10.5s.5p,3P*,0,4d10.5s.7s,3S,1,,,L18161,
Sn,3,75.2985,0.0005,75.2987,0.0003,150w,,,55196.47,188000.8,4d10.5s.5p,3P*,1,4d10.5s.6d,3D,2,,,L18161,
Sn,3,75.3455,0.0005,75.3454,0.0003,110,,,55196.47,187918.5,4d10.5s.5p,3P*,1,4d10.5s.6d,3D,1,,,L18161,
Sn,3,76.0585,0.0005,76.0586,0.0004,150w,,,55196.47,186674.1,4d10.5s.5p,3P*,1,4d10.5s.7s,3S,1,,,L18161,
Sn,3,77.3094,0.0005,77.3094,0.0010,75,,,79911.60,209261.9,4d10.5s.5p,1P*,1,4d10.5s.7d,1D,2,,,L18161,
Sn,3,77.5760,0.0005,77.5760,0.0005,180w,,,59228.13,188134.0,4d10.5s.5p,3P*,2,4d10.5s.6d,3D,3,,,L18161,
Sn,3,77.6564,0.0005,77.6562,0.0003,85,,,59228.13,188000.8,4d10.5s.5p,3P*,2,4d10.5s.6d,3D,2,,,L18161,
Sn,3,77.7058,0.0005,77.7059,0.0003,15,,,59228.13,187918.5,4d10.5s.5p,3P*,2,4d10.5s.6d,3D,1,,,L18161,
Sn,3,77.7401,0.0005,77.7401,0.0007,45,,,79911.60,208545.3,4d10.5s.5p,1P*,1,4d10.5s.8s,1S,0,,,L18161,
Sn,3,78.4648,0.0005,78.4646,0.0004,180w,,,59228.13,186674.1,4d10.5s.5p,3P*,2,4d10.5s.7s,3S,1,,,L18161,
Sn,2,88.8313,0.0019,88.8304,0.0004,1400,,,0.00,112574.1,5s2.5p,2P*,1/2,5s2.11d,2D,3/2,,,L17864,
Sn,2,89.9884,0.0019,89.9907,0.0010,3400,,,0.00,111122.6,5s2.5p,2P*,1/2,5s2.10d,2D,3/2,,,L17864,
Sn,4,90.822,0.010,,,50,,,,,,,,,,,,,u14,
Sn,3,91.0922,0.0005,91.0920,0.0004,150w,,,79911.60,189690.7,4d10.5s.5p,1P*,1,4d10.5s.6d,1D,2,,,L18161,
Sn,2,91.7378,0.0006,91.7380,0.0004,7300,9.e+07,E,0.00,109006.1,5s2.5p,2P*,1/2,5s2.9d,2D,3/2,,T9352,L18891,
