element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Sr,29,0.5385,0.0002,0.53850,0.00020,10,1.4e+11,,0,18570000,2s2.2p6,1S,0,2s.2p6.3d,"(1/2,5/2)",2,E2,T5795,L6629,
Sr,29,0.5580,0.0002,0.55800,0.00019,100,2.2e+13,,0,17921000,2s2.2p6,1S,0,2s.2p6.3p,"(1/2,3/2)*",1,,T5795,L6629,
Sr,29,0.5628,0.0002,0.56281,0.00019,90,7.1e+12,,0,17768000,2s2.2p6,1S,0,2s.2p6.3p,"(1/2,1/2)*",1,,T5795,L6629,
Sr,29,0.5883,0.0002,0.58830,0.00021,180,1.2e+14,,0,16998000,2s2.2p6,1S,0,2s2.2p5.3d,"(1/2,3/2)*",1,,T5795,L5122,
Sr,29,0.6063,0.0002,0.60632,0.00018,200,1.0e+14,,0,16493000,2s2.2p6,1S,0,2s2.2p5.3d,"(3/2,5/2)*",1,,T5795,L5122,
Sr,29,0.6128,0.0002,0.61280,0.00019,120,2.6e+11,,0,16318500,2s2.2p6,1S,0,2s2.2p5.3d,"(3/2,3/2)*",1,,T5795,L5122,
Sr,29,0.6362,0.0002,0.63610,0.00020,100,4.3e+12,,0,15720700,2s2.2p6,1S,0,2s2.2p5.3s,"(1/2,1/2)*",1,,T5795,L5122,
Sr,29,0.6592,0.0002,0.65925,0.00022,120,6.6e+12,,0,15168800,2s2.2p6,1S,0,2s2.2p5.3s,"(3/2,1/2)*",1,,T5795,L5122,
Sr,28,1.1387,0.0005,1.1387,0.0005,1,8.28e+11,,625864,9407800,2p6.3p,2P*,3/2,2p6.7d,2D,5/2,,T6024,L6830,
Sr,28,1.1519,0.0005,1.1519,0.0005,2,5.93e+11,,0,8681300,2p6.3s,2S,1/2,2p6.6p,2P*,3/2,,T6024,L6830,
Sr,28,1.2106,0.0005,1.2106,0.0004,3,1.11e+12,,491004,8751400,2p6.3p,2P*,1/2,2p6.6d,2D,3/2,,T6024,L6830,
Sr,28,1.2304,0.0005,1.2304,0.0005,15,1.32e+12,,625864,8753300,2p6.3p,2P*,3/2,2p6.6d,2D,5/2,,T6024,L6830,
Sr,28,1.3250,0.0005,1.3250,0.0005,5,9.97e+11,,0,7547200,2p6.3s,2S,1/2,2p6.5p,2P*,3/2,,T6024,L6830,
Sr,28,1.3304,0.0005,1.3304,0.0007,8*,1.09e+12,,0,7516500,2p6.3s,2S,1/2,2p6.5p,2P*,1/2,,T6024,L6830,
Sr,28,1.3304,0.0005,1.33155,0.00016,8*,1.51e+12,,1276982,8787000,2p6.3d,2D,3/2,2p6.6f,2F*,5/2,,T6024,L6830,
Sr,28,1.3359,0.0005,1.33576,0.00020,8,1.60e+12,,1303522,8789900,2p6.3d,2D,5/2,2p6.6f,2F*,7/2,,T6024,L6830,
Sr,28,1.3937,0.0005,1.39363,0.00014,20,1.91e+12,,491004,7666500,2p6.3p,2P*,1/2,2p6.5d,2D,3/2,,T6024,L6830,
Sr,28,1.4192,0.0005,1.41916,0.00014,25,2.29e+12,,625864,7672300,2p6.3p,2P*,3/2,2p6.5d,2D,5/2,,T6024,L6830,
Sr,28,1.4431,0.0005,1.44313,0.00015,1,3.37e+11,,491004,7420400,2p6.3p,2P*,1/2,2p6.5s,2S,1/2,,T6024,L6830,
Sr,28,1.4718,0.0005,1.47177,0.00015,2,7.32e+11,,625864,7420400,2p6.3p,2P*,3/2,2p6.5s,2S,1/2,,T6024,L6830,
Sr,28,1.5493,0.0005,1.54911,0.00019,22,3.08e+12,,1276982,7732300,2p6.3d,2D,3/2,2p6.5f,2F*,5/2,,T6024,L6830,
Sr,28,1.5549,0.0005,1.55495,0.00024,25,3.27e+12,,1303522,7734600,2p6.3d,2D,5/2,2p6.5f,2F*,7/2,,T6024,L6830,
Sr,28,1.8475,0.0005,1.84758,0.00020,70,1.74e+12,,0,5412500,2p6.3s,2S,1/2,2p6.4p,2P*,3/2,,T6024,L6830,
Sr,28,1.8663,0.0005,1.86616,0.00024,30,1.96e+12,,0,5358600,2p6.3s,2S,1/2,2p6.4p,2P*,1/2,,T6024,L6830,
Sr,28,1.9361,0.0005,1.9361,0.0003,60,3.46e+12,,491004,5656100,2p6.3p,2P*,1/2,2p6.4d,2D,3/2,,T6024,L6830,
Sr,28,1.9834,0.0005,1.9834,0.0004,75,4.23e+12,,625864,5667700,2p6.3p,2P*,3/2,2p6.4d,2D,5/2,,T6024,L6830,
Sr,28,1.9879,0.0005,1.9880,0.0003,8,7.16e+11,,625864,5656100,2p6.3p,2P*,3/2,2p6.4d,2D,3/2,,T6024,L6830,
Sr,28,2.1430,0.0005,2.1429,0.0003,20,7.59e+11,,491004,5157500,2p6.3p,2P*,1/2,2p6.4s,2S,1/2,,T6659,L6830,
Sr,28,2.2067,0.0005,2.2067,0.0003,20,1.66e+12,,625864,5157500,2p6.3p,2P*,3/2,2p6.4s,2S,1/2,,T6659,L6830,
Sr,28,2.2155,0.0005,2.2155,0.0005,80,8.54e+12,,1276982,5790700,2p6.3d,2D,3/2,2p6.4f,2F*,5/2,,T6024,L6830,
Sr,28,2.2264,0.0005,2.2264,0.0005,100,9.10e+12,,1303522,5795100,2p6.3d,2D,5/2,2p6.4f,2F*,7/2,,T6024,L6830,
Sr,28,2.4337,0.0005,2.4337,0.0004,5,4.47e+11,,1303522,5412500,2p6.3d,2D,5/2,2p6.4p,2P*,3/2,,T6024,L6830,
Sr,28,2.4500,0.0005,2.4500,0.0004,3,5.47e+11,,1276982,5358600,2p6.3d,2D,3/2,2p6.4p,2P*,1/2,,T6024,L6830,
Sr,28,3.1940,0.0005,3.1940,0.0005,2,7.89e+11,,5656100,8787000,2p6.4d,2D,3/2,2p6.6f,2F*,5/2,,T6024,L6830,
Sr,28,3.2029,0.0005,3.2029,0.0005,3,8.41e+11,,5667700,8789900,2p6.4d,2D,5/2,2p6.6f,2F*,7/2,,T6024,L6830,
Sr,28,4.3329,0.0005,4.3329,0.0006,3,6.21e+11,,5358600,7666500,2p6.4p,2P*,1/2,2p6.5d,2D,3/2,,T6024,L6830,
Sr,28,4.4252,0.0005,4.4252,0.0006,5,7.79e+11,,5412500,7672300,2p6.4p,2P*,3/2,2p6.5d,2D,5/2,,T6024,L6830,
Sr,28,4.8164,0.0005,4.8165,0.0005,12,1.46e+12,,5656100,7732300,2p6.4d,2D,3/2,2p6.5f,2F*,5/2,,T6024,L6830,
Sr,28,4.8381,0.0005,4.8382,0.0005,15,1.57e+12,,5667700,7734600,2p6.4d,2D,5/2,2p6.5f,2F*,7/2,,T6024,L6830,
Sr,28,4.9809,0.0005,4.9803,0.0005,3w,5.24e+11,,5412500,7420400,2p6.4p,2P*,3/2,2p6.5s,2S,1/2,,T6024,L6830,
Sr,28,5.1201,0.0005,5.1201,0.0005,25,2.54e+12,,5790700,7743790,2p6.4f,2F*,5/2,2p6.5g,2G,7/2,,T6024,L6830,
