element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ta,5,47.829,,20,,,,,,,,,,,,,L3695,
Ta,5,49.307,,60,,,,,,,,,,,,,L3695,
Ta,4,76.314,,10,,,,,,,,,,,,,L4307,
Ta,5,84.131,,200,,,,,,,,,,,,,L3695,
Ta,5,89.087,,1000,,,,,,,,,,,,,L3695,
Ta,4,93.441,,32,,,,,,,,,,,,,L4307,
Ta,5,94.730,,500,,,,,,,,,,,,,L3695,
Ta,5,99.029,,100,,,,,,,,,,,,,L3695,
Ta,4,99.934,,67,,,,,,,,,,,,,L4307,
Ta,4,106.353,,65,,,,,,,,,,,,,L4307,
Ta,5,106.664,,200,,,,,,,,,,,,,L3695,
Ta,4,106.717,,68,,,,,,,,,,,,,L4307,
Ta,4,107.447,,71,,,,,,,,,,,,,L4307,
Ta,4,108.639,,71,,,,,,,,,,,,,L4307,
Ta,4,109.460,,72,,,,,,,,,,,,,L4307,
Ta,4,110.013,,68,,,,,,,,,,,,,L4307,
Ta,4,111.610,,79,,,,,,,,,,,,,L4307,
Ta,4,111.883,,71,,,,,,,,,,,,,L4307,
Ta,4,113.617,,78,,,,,,,,,,,,,L4307,
Ta,4,113.826,,66,,,,,,,,,,,,,L4307,
Ta,5,114.049,,200,,,,,,,,,,,,,L3695,
Ta,4,114.972,,75,,,,,,,,,,,,,L4307,
Ta,4,115.042,,75,,,,,,,,,,,,,L4307,
Ta,4,115.192,,75,,,,,,,,,,,,,L4307,
Ta,4,117.251,,76,,,,,,,,,,,,,L4307,
Ta,4,117.551,,85,,,,,,,,,,,,,L4307,
Ta,4,118.928,,80,,,,,,,,,,,,,L4307,
Ta,4,119.252,,78,,,,,,,,,,,,,L4307,
Ta,4,119.267,,80,,,,,,,,,,,,,L4307,
Ta,4,121.194,,78,,,,,,,,,,,,,L4307,
Ta,4,121.268,,80,,,,,,,,,,,,,L4307,
Ta,4,121.309,,85,,,,,,,,,,,,,L4307,
Ta,5,121.342,,500,,,,,,,,,,,,,L3695,
Ta,4,121.466,,70,,,,,,,,,,,,,L4307,
Ta,4,121.553,,85,,,,,,,,,,,,,L4307,
Ta,4,122.073,,80,,,,,,,,,,,,,L4307,
Ta,4,122.096,,80,,,,,,,,,,,,,L4307,
Ta,4,122.373,,90,,,,,,,,,,,,,L4307,
Ta,4,123.812,,88,,,,,,,,,,,,,L4307,
Ta,4,124.006,,95,,,,,,,,,,,,,L4307,
Ta,5,124.298,,100,,,,,,,,,,,,,L3695,
Ta,4,125.834,,87,,,,,,,,,,,,,L4307,
Ta,4,126.491,,94,,,,,,,,,,,,,L4307,
Ta,4,127.242,,98,,,,,,,,,,,,,L4307,
Ta,4,127.548,,94,,,,,,,,,,,,,L4307,
Ta,4,127.594,,86,,,,,,,,,,,,,L4307,
Ta,4,130.851,,92,,,,,,,,,,,,,L4307,
Ta,4,131.135,,85,,,,,,,,,,,,,L4307,
Ta,4,131.558,,87,,,,,,,,,,,,,L4307,
Ta,4,132.519,,81,,,,,,,,,,,,,L4307,
Ta,4,133.238,,92,,,,,,,,,,,,,L4307,
Ta,4,134.330,,86,,,,,,,,,,,,,L4307,
Ta,4,135.046,,75,,,,,,,,,,,,,L4307,
Ta,4,136.588,,92,,,,,,,,,,,,,L4307,
Ta,4,137.662,,79,,,,,,,,,,,,,L4307,
Ta,4,138.880,,78,,,,,,,,,,,,,L4307,
Ta,5,139.256,,5000,,,,,,,,,,,,,L3695,
Ta,4,139.878,,91,,,,,,,,,,,,,L4307,
Ta,4,141.340,,93,,,,,,,,,,,,,L4307,
Ta,4,143.011,,79,,,,,,,,,,,,,L4307,
Ta,4,144.154,,83,,,,,,,,,,,,,L4307,
Ta,4,145.432,,91,,,,,,,,,,,,,L4307,
Ta,4,146.441,,92,,,,,,,,,,,,,L4307,
Ta,4,146.982,,93,,,,,,,,,,,,,L4307,
Ta,4,149.525,,90,,,,,,,,,,,,,L4307,
Ta,4,151.419,,95,,,,,,,,,,,,,L4307,
Ta,4,152.569,,70,,,,,,,,,,,,,L4307,
Ta,4,156.597,,82,,,,,,,,,,,,,L4307,
Ta,4,158.464,,82,,,,,,,,,,,,,L4307,
Ta,4,159.491,,84,,,,,,,,,,,,,L4307,
Ta,4,160.770,,85,,,,,,,,,,,,,L4307,
Ta,4,163.165,,84,,,,,,,,,,,,,L4307,
Ta,4,163.982,,79,,,,,,,,,,,,,L4307,
Ta,4,166.876,,84,,,,,,,,,,,,,L4307,
Ta,4,167.645,,84,,,,,,,,,,,,,L4307,
Ta,5,170.910,,7000,,,,,,,,,,,,,L3695,
Ta,4,171.216,,85,,,,,,,,,,,,,L4307,
Ta,4,171.613,,85,,,,,,,,,,,,,L4307,
Ta,4,175.390,,82,,,,,,,,,,,,,L4307,
Ta,4,175.904,,82,,,,,,,,,,,,,L4307,
Ta,4,176.303,,79,,,,,,,,,,,,,L4307,
Ta,4,186.592,,83,,,,,,,,,,,,,L4307,
Ta,4,190.163,,84,,,,,,,,,,,,,L4307,
Ta,4,190.766,,84,,,,,,,,,,,,,L4307,
Ta,4,192.475,,84,,,,,,,,,,,,,L4307,
Ta,4,194.025,,77,,,,,,,,,,,,,L4307,
Ta,4,198.568,,79,,,,,,,,,,,,,L4307,
Ta,4,198.944,,82,,,,,,,,,,,,,L4307,
Ta,4,205.575,,85,,,,,,,,,,,,,L4307,
Ta,4,207.901,,83,,,,,,,,,,,,,L4307,
Ta,4,211.153,,75,,,,,,,,,,,,,L4307,
Ta,2,214.013,,1100,,,,,,,,,,,,,L3475,
Ta,2,214.687,214.6874+,1500,,,1031.33,47596.02,5d3.(4F).6s,a 5F,2,,475*,1,,,L3475,
Ta,2,215.062,,740,,,,,,,,,,,,,L3475,
Ta,2,216.501,,600,,,,,,,,,,,,,L3475,
Ta,2,217.803,,740,,,,,,,,,,,,,L3475,
Ta,2,218.271,,1200,,,,,,,,,,,,,L3475,
Ta,2,219.320,,540,,,,,,,,,,,,,L3475,
Ta,2,219.388,,1100,,,,,,,,,,,,,L3475,
Ta,2,219.603,219.6048+,1500,,,4415.70,49937.82,5d3.(4F).6s,a 5F,4,,499*,4,,,L3475,
Ta,4,219.958,,90,,,,,,,,,,,,,L4307,
Ta,2,219.967,219.9683+,1500,,,0.00,45446.91,5d3.(4F).6s,a 5F,1,,454*,2,,,L3475,
Ta,2,220.714,,500,,,,,,,,,,,,,L3475,
Ta,4,220.764,,90,,,,,,,,,,,,,L4307,
Ta,2,221.003,221.0045+,1400bl*,,,0.00,45233.85,5d3.(4F).6s,a 5F,1,,5D*,1,,,L3475,
Ta,2,221.019,221.0189+,1400bl*,,,4415.70,49646.60,5d3.(4F).6s,a 5F,4,,496*,3,,,L3475,
Ta,2,221.560,,420,,,,,,,,,,,,,L3475,
Ta,2,223.948,223.9512+,1400*,,,2642.19,47280.92,5d3.(4F).6s,a 5F,3,,472*,4,,,L3475,
Ta,2,223.948,223.9474+,1400*,,,4415.70,49055.18,5d3.(4F).6s,a 5F,4,,490*,5,,,L3475,
Ta,2,224.848,,240,,,,,,,,,,,,,L3475,
Ta,2,224.979,,480,,,,,,,,,,,,,L3475,
Ta,2,225.076,,1200,,,,,,,,,,,,,L3475,
Ta,2,225.486,,260,,,,,,,,,,,,,L3475,
Ta,2,225.577,,440,,,,,,,,,,,,,L3475,
Ta,2,225.651,,360,,,,,,,,,,,,,L3475,
Ta,2,225.871,,500,,,,,,,,,,,,,L3475,
Ta,2,226.142,,840,,,,,,,,,,,,,L3475,
Ta,2,226.162,,260,,,,,,,,,,,,,L3475,
Ta,2,226.230,,990,,,,,,,,,,,,,L3475,
Ta,2,226.956,,220,,,,,,,,,,,,,L3475,
Ta,2,227.185,,740,,,,,,,,,,,,,L3475,
Ta,2,227.259,,990,,,,,,,,,,,,,L3475,
Ta,1,227.985,,200,,,,,,,,,,,,,L3475,
Ta,2,228.219,,320,,,,,,,,,,,,,L3475,
Ta,2,228.502,,130,,,,,,,,,,,,,L3475,
Ta,2,228.525,,790,,,,,,,,,,,,,L3475,
Ta,2,228.659,,600,,,,,,,,,,,,,L3475,
Ta,2,228.727,,240,,,,,,,,,,,,,L3475,
Ta,2,228.916,,990,,,,,,,,,,,,,L3475,
Ta,2,229.254,,180,,,,,,,,,,,,,L3475,
Ta,2,230.147,,160,,,,,,,,,,,,,L3475,
Ta,2,230.224,,440,,,,,,,,,,,,,L3475,
Ta,2,230.293,,440,,,,,,,,,,,,,L3475,
Ta,2,230.349,,300,,,,,,,,,,,,,L3475,
Ta,2,230.846,,100,,,,,,,,,,,,,L3475,
Ta,2,231.260,,440,,,,,,,,,,,,,L3475,
Ta,2,231.546,,420,,,,,,,,,,,,,L3475,
Ta,2,231.916,,260,,,,,,,,,,,,,L3475,
Ta,2,233.129,,100,,,,,,,,,,,,,L3475,
Ta,2,233.198,,690,,,,,,,,,,,,,L3475,
Ta,2,233.219,,550,,,,,,,,,,,,,L3475,
Ta,2,233.413,,110,,,,,,,,,,,,,L3475,
Ta,2,233.488,,180,,,,,,,,,,,,,L3475,
Ta,2,233.575,,140,,,,,,,,,,,,,L3475,
Ta,2,233.828,,300,,,,,,,,,,,,,L3475,
Ta,2,234.094,,200,,,,,,,,,,,,,L3475,
Ta,2,234.161,,200,,,,,,,,,,,,,L3475,
Ta,2,234.364,,130,,,,,,,,,,,,,L3475,
Ta,2,234.642,,100,,,,,,,,,,,,,L3475,
Ta,2,235.199,,90,,,,,,,,,,,,,L3475,
Ta,2,235.386,,170,,,,,,,,,,,,,L3475,
Ta,2,235.522,,120,,,,,,,,,,,,,L3475,
Ta,2,235.605,,170,,,,,,,,,,,,,L3475,
Ta,2,235.690,,140,,,,,,,,,,,,,L3475,
Ta,1,235.730,235.7316+,250,,,0.00,42408.16,5d3.6s2,a 4F,3/2,,424*,3/2,,,L3475,
Ta,2,235.916,,170,,,,,,,,,,,,,L3475,
Ta,1,236.109,236.1106+,260,,,2010.10,44350.19,5d3.6s2,a 4F,5/2,,443*,3/2,,,L3475,
Ta,2,236.278,,160,,,,,,,,,,,,,L3475,
Ta,2,236.332,,130,,,,,,,,,,,,,L3475,
Ta,2,236.424,,600,,,,,,,,,,,,,L3475,
Ta,2,236.724,,50,,,,,,,,,,,,,L3475,
Ta,2,236.932,,150,,,,,,,,,,,,,L3475,
Ta,2,237.076,,300,,,,,,,,,,,,,L3475,
Ta,1,237.158,237.1586+,320,,,3963.92,46116.93,5d3.6s2,a 4F,7/2,,461*,5/2,,,L3475,
Ta,2,237.394,,100,,,,,,,,,,,,,L3475,
Ta,1,237.591,237.574+,70,,,19657.78,61737.0,5d2.6s2.(3F).6p,z 4D*,3/2,,617,5/2,,,L3475,
Ta,2,237.831,,150,,,,,,,,,,,,,L3475,
Ta,2,238.113,,440,,,,,,,,,,,,,L3475,
Ta,2,238.152,,240,,,,,,,,,,,,,L3475,
