element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Tb,4,117.658,,30,,,,,,,,,,,,,L3689,
Tb,4,119.201,,30,,,,,,,,,,,,,L3689,
Tb,4,120.058,,70,,,,,,,,,,,,,L3689,
Tb,4,121.394,,50,,,,,,,,,,,,,L3689,
Tb,4,122.122,,80,,,,,,,,,,,,,L3689,
Tb,4,123.504,,500,,,,,,,,,,,,,L3689,
Tb,4,125.940,,1000,,,,,,,,,,,,,L3689,
Tb,4,130.148,,300,,,,,,,,,,,,,L3689,
Tb,4,130.830,,300,,,,,,,,,,,,,L3689,
Tb,4,131.170,,600,,,,,,,,,,,,,L3689,
Tb,4,131.512,,700,,,,,,,,,,,,,L3689,
Tb,4,132.556,,500,,,,,,,,,,,,,L3689,
Tb,4,132.767,,1000,,,,,,,,,,,,,L3689,
Tb,4,136.756,,100,,,,,,,,,,,,,L3689,
Tb,4,136.771,,400,,,,,,,,,,,,,L3689,
Tb,4,136.964,,700,,,,,,,,,,,,,L3689,
Tb,4,137.386,,1000,,,,,,,,,,,,,L3689,
Tb,4,137.646,,400,,,,,,,,,,,,,L3689,
Tb,4,137.823,,200,,,,,,,,,,,,,L3689,
Tb,4,138.100,,300,,,,,,,,,,,,,L3689,
Tb,4,138.283,,100,,,,,,,,,,,,,L3689,
Tb,4,138.992,,20,,,,,,,,,,,,,L3689,
Tb,4,151.617,,200,,,,,,,,,,,,,L3689,
Tb,4,153.010,,50,,,,,,,,,,,,,L3689,
Tb,4,159.539,,5000,,,,,,,,,,,,,L3689,
Tb,4,163.319,,2000,,,,,,,,,,,,,L3689,
Tb,4,164.938,,300,,,,,,,,,,,,,L3689,
Tb,4,165.475,,400,,,,,,,,,,,,,L3689,
Tb,4,166.758,,400,,,,,,,,,,,,,L3689,
Tb,4,167.255,,200,,,,,,,,,,,,,L3689,
Tb,4,168.198,,400,,,,,,,,,,,,,L3689,
Tb,4,168.446,,5,,,,,,,,,,,,,L3689,
Tb,4,168.537,,100,,,,,,,,,,,,,L3689,
Tb,4,169.195,,400,,,,,,,,,,,,,L3689,
Tb,4,169.523,,10,,,,,,,,,,,,,L3689,
Tb,4,169.836,,300,,,,,,,,,,,,,L3689,
Tb,4,170.160,,30,,,,,,,,,,,,,L3689,
Tb,4,170.479,,50,,,,,,,,,,,,,L3689,
Tb,4,170.505,,20,,,,,,,,,,,,,L3689,
Tb,4,194.394,,3,,,,,,,,,,,,,L3689,
Tb,4,197.090,,50,,,,,,,,,,,,,L3689,
Tb,4,202.779,,2000,,,,,,,,,,,,,L3689,
Tb,4,202.922,,200,,,,,,,,,,,,,L3689,
Tb,4,204.888,,400,,,,,,,,,,,,,L3689,
Tb,4,207.883,,200,,,,,,,,,,,,,L3689,
Tb,4,208.998,,1000,,,,,,,,,,,,,L3689,
Tb,4,233.254,,1000,,,,,,,,,,,,,L3689,
Tb,4,243.601,,100,,,,,,,,,,,,,L3689,
Tb,2,257.773,,29,,,,,,,,,,,,,L3475,
Tb,2,258.461,,110,,,,,,,,,,,,,L3475,
Tb,2,259.031,,29,,,,,,,,,,,,,L3475,
Tb,2,259.142,,29,,,,,,,,,,,,,L3475,
Tb,2,259.264,,24,,,,,,,,,,,,,L3475,
Tb,2,259.771,,55,,,,,,,,,,,,,L3475,
Tb,2,260.293,,40,,,,,,,,,,,,,L3475,
Tb,2,260.857,,110,,,,,,,,,,,,,L3475,
Tb,2,262.869,,130,,,,,,,,,,,,,L3475,
Tb,2,265.596,,55,,,,,,,,,,,,,L3475,
Tb,2,266.140,,50,,,,,,,,,,,,,L3475,
Tb,2,266.164,,24,,,,,,,,,,,,,L3475,
Tb,2,266.764,,55,,,,,,,,,,,,,L3475,
Tb,2,266.886,,50,,,,,,,,,,,,,L3475,
Tb,2,266.929,,140,,,,,,,,,,,,,L3475,
Tb,2,267.413,,40,,,,,,,,,,,,,L3475,
Tb,2,267.469,,40,,,,,,,,,,,,,L3475,
Tb,2,267.815,,29,,,,,,,,,,,,,L3475,
Tb,2,268.397,,40,,,,,,,,,,,,,L3475,
Tb,2,268.782,,35,,,,,,,,,,,,,L3475,
Tb,2,269.190,,50,,,,,,,,,,,,,L3475,
Tb,2,269.305,,35,,,,,,,,,,,,,L3475,
Tb,2,269.341,,55,,,,,,,,,,,,,L3475,
Tb,2,269.546,,35,,,,,,,,,,,,,L3475,
Tb,2,269.683,,50,,,,,,,,,,,,,L3475,
Tb,2,270.407,,190,,,,,,,,,,,,,L3475,
Tb,2,273.624,,130,,,,,,,,,,,,,L3475,
Tb,2,275.947,,160,,,,,,,,,,,,,L3475,
Tb,2,276.953,,270,,,,,,,,,,,,,L3475,
Tb,2,278.449,,130,,,,,,,,,,,,,L3475,
Tb,2,280.051,,180,,,,,,,,,,,,,L3475,
Tb,2,280.275,,250,,,,,,,,,,,,,L3475,
Tb,2,280.930,,250,,,,,,,,,,,,,L3475,
Tb,2,281.264,,180,,,,,,,,,,,,,L3475,
Tb,2,285.214,,190,,,,,,,,,,,,,L3475,
Tb,2,285.768,,110,,,,,,,,,,,,,L3475,
Tb,2,288.629,,230,,,,,,,,,,,,,L3475,
Tb,2,289.445,,160,,,,,,,,,,,,,L3475,
Tb,2,289.744,,320,,,,,,,,,,,,,L3475,
Tb,2,289.886,,160,,,,,,,,,,,,,L3475,
Tb,2,290.154,,110,,,,,,,,,,,,,L3475,
Tb,2,291.030,,110,,,,,,,,,,,,,L3475,
Tb,2,291.475,,160,,,,,,,,,,,,,L3475,
Tb,2,291.530,,160,,,,,,,,,,,,,L3475,
Tb,2,291.560,,190,,,,,,,,,,,,,L3475,
Tb,2,291.624,,120,,,,,,,,,,,,,L3475,
Tb,2,291.889,,120,,,,,,,,,,,,,L3475,
Tb,2,292.416,,120,,,,,,,,,,,,,L3475,
Tb,2,292.453,,120,,,,,,,,,,,,,L3475,
Tb,2,293.289,,160,,,,,,,,,,,,,L3475,
