element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Th,4,79.753,0.010,,,4,,,,,,,,,,,,,L3508,
Th,4,83.555,0.010,,,1,,,,,,,,,,,,,L3508,
Th,4,84.691,0.010,,,30,,,,,,,,,,,,,L7373,
Th,4,85.402,0.010,,,1,,,,,,,,,,,,,L3508,
Th,4,88.239,0.010,,,30,,,,,,,,,,,,,L7373,
Th,4,88.666,0.010,,,12,,,,,,,,,,,,,L7373,
Th,4,156.585,0.010,,,100,,,,,,,,,,,,,L3508,
Th,4,168.222,0.010,,,70,,,,,,,,,,,,,L3508,
Th,4,168.401,0.010,,,30,,,,,,,,,,,,,L3508,
Th,4,170.737,0.010,,,150,,,,,,,,,,,,,L3508,
Th,4,195.902,0.010,,,200,,,,,,,,,,,,,L3508,
Th,4,200.234,0.010,,,200,,,,,,,,,,,,,L3508,
Th,4,206.670,0.010,,,100,,,,,,,,,,,,,L3508,
Th,4,214.391,0.010,,,20,,,,,,,,,,,,,L3508,
Th,4,214.681,0.010,,,30,,,,,,,,,,,,,L3508,
Th,4,224.211,0.010,,,1,,,,,,,,,,,,,L3508,
Th,4,226.126,0.010,,,2,,,,,,,,,,,,,L3508,
Th,4,229.681,0.010,,,5,,,,,,,,,,,,,L3508,
Th,1,234.53720,0.00006,234.537104,0.000005,69,,,0.000000,42624.1219,6d2.7s2,3F,2,,*,1,,,L3552,
Th,1,243.94330,0.00006,243.943332,0.000003,210,,,0.000000,40980.7020,6d2.7s2,3F,2,,*,3,,,L3552,
Th,1,248.34180,0.00006,248.341580,0.000004,69,,,0.000000,40254.9660,6d2.7s2,3F,2,,*,3,,,L3552,
Th,1,249.32500,0.00006,249.324811,0.000003,140,,,0.000000,40096.2286,6d2.7s2,3F,2,,*,2,,,L3552,
Th,1,249.51260,0.00006,249.512527,0.000005,13,,,2558.056752,42624.1219,6d2.7s2,3P,0,,*,1,,,L3552,
Th,1,250.01421,0.00006,250.013935,0.000005,13,,,0.000000,39985.7173,6d2.7s2,3F,2,,*,3,,,L3552,
Th,1,252.37601,0.00006,252.375879,0.000004,34,,,0.000000,39611.5229,6d2.7s2,3F,2,,*,3,,,L3552,
Th,1,253.65400,0.00006,253.654197,0.000003,34,,,0.000000,39411.9097,6d2.7s2,3F,2,,*,1,,,L3552,
Th,1,254.60520,0.00006,254.605282,0.000003,140,,,0.000000,39264.6950,6d2.7s2,3F,2,,*,3,,,L3552,
Th,1,256.34020,0.00007,256.340181,0.000005,2,,,0.000000,38998.9704,6d2.7s2,3F,2,,*,3,,,L3552,
Th,1,257.55991,0.00007,257.560231,0.000006,4,,,0.000000,38814.2460,6d2.7s2,3F,2,,*,2,,,L3552,
Th,1,257.72880,0.00007,257.728919,0.000004,100,,,0.000000,38788.8430,6d2.7s2,3F,2,,*,3,,,L3552,
Th,1,258.48511,0.00007,258.485268,0.000005,2,,,0.000000,38675.3508,6d2.7s2,3F,2,,*,3,,,L3552,
Th,1,258.52240,0.00007,258.522584,0.000005,4,,,0.000000,38669.7687,6d2.7s2,3F,2,,*,2,,,L3552,
