element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ti,13,1.7727,0.0010,1.7727*,0.0003,2,,,0,5641100,2s2.2p6,1S,0,2s2.2p5.(2P*<1/2>).5d,2[3/2]*,1,,,L270,
Ti,13,1.7869,0.0010,1.7869*,0.0003,1,,,0,5596300,2s2.2p6,1S,0,2s2.2p5.(2P*<3/2>).5d,2[3/2]*,1,,,L270,
Ti,13,1.9204,0.0010,1.9204*,0.0004,5,,,0,5207200,2s2.2p6,1S,0,2s2.2p5.(2P*<1/2>).4d,2[3/2]*,1,,,L270,
Ti,13,1.9366,0.0010,1.9366*,0.0004,4,,,0,5163700,2s2.2p6,1S,0,2s2.2p5.(2P*<3/2>).4d,2[3/2]*,1,,,L270,
Ti,13,1.9943,0.0010,1.9943*,0.0004,1,,,0,5014300,2s2.2p6,1S,0,2s2.2p5.(2P*<1/2>).4s,"(1/2,1/2)*",1,,,L270,
Ti,13,2.0135,0.0010,2.0135*,0.0004,1,,,0,4966500,2s2.2p6,1S,0,2s2.2p5.(2P*<3/2>).4s,"(3/2,1/2)*",1,,,L270,
Ti,13,2.1035,0.0010,2.103*,0.004,7,,,0,4754000,2s2.2p6,1S,0,2s.2p6.3p,1P*,1,,,L270,
Ti,13,2.1127,0.0010,2.1127*,0.0004,2,,,0,4733300,2s2.2p6,1S,0,2s.2p6.3p,3P*,1,,,L270,
Ti,14,2.1304,0.0010,2.130*,0.005,6,9.6e+10,E,0,4694000,2s2.2p5,2P*,3/2,2s2.2p4.(1S).3d,2D,3/2,,T4764,L2721,
Ti,14,2.1341,0.0010,2.1341*,0.0005,40,9.8e+11,D,0,4685800,2s2.2p5,2P*,3/2,2s2.2p4.(1S).3d,2D,5/2,,T4764,L2721,
Ti,14,2.1522,0.0010,2.152*,0.005,50,4.5e+12,D,47219,4694000,2s2.2p5,2P*,1/2,2s2.2p4.(1S).3d,2D,3/2,,T4764,L2721,
Ti,14,2.1657,0.0010,2.1657*,0.0005,70,1.3e+12,D,0,4617400,2s2.2p5,2P*,3/2,2s2.2p4.(1D).3d,2D,3/2,,T4764,L2721,
Ti,14,2.1732,0.0010,2.172372+,0.000007,70,,,0,4603263,2s2.2p5,2P*,3/2,2s2.2p4.(1D).3d,2D,5/2,,,L2721,
Ti,14,2.182,0.010,2.182*,0.005,60,6.4e+12,D,0,4583000,2s2.2p5,2P*,3/2,2s2.2p4.(1D).3d,2S,1/2,,T4764,L2721,
Ti,14,2.1883,0.0010,2.1881*,0.0005,70,7.0e+12,D,47219,4617400,2s2.2p5,2P*,1/2,2s2.2p4.(1D).3d,2D,3/2,,T4764,L2721,
Ti,14,2.1958,0.0010,2.196260+,0.000007,50,1.2e+12,D,47219,4600413,2s2.2p5,2P*,1/2,2s2.2p4.(1D).3d,2P,3/2,,T4764,L2721,
Ti,14,2.2066,0.0010,2.2066*,0.0005,60,,,0,4531900,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3d,2D,5/2,,,L2721,
Ti,14,2.2099,0.0010,2.2099*,0.0005,20,,,0,4525100,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3d,2P,3/2,,,L2721,
Ti,14,2.2162,0.0010,2.216275+,0.000007,30,,,0,4512075,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3d,2F,5/2,,,L2721,
Ti,14,2.2190,0.0010,2.2190*,0.0005,30,,,0,4506500,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3d,2D,3/2,,,L2721,
Ti,14,2.2215,0.0010,2.2215*,0.0005,30,,,0,4501500,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3d,4P,5/2,,,L2721,
Ti,14,2.2248,0.0010,2.2248*,0.0005,10,,,0,4494800,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3d,2P,1/2,,,L2721,
Ti,14,2.2279,0.0010,2.2279*,0.0005,40,,,0,4488500,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3d,4P,3/2,,,L2721,
Ti,14,2.2279,0.0010,2.227670+,0.000007,40,,,0,4488995,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3d,4F,5/2,,,L2721,
Ti,14,2.2328,0.0010,2.2332*,0.0005,30,,,47219,4525100,2s2.2p5,2P*,1/2,2s2.2p4.(3P).3d,2P,3/2,,,L2721,
Ti,14,2.2328,0.0010,2.232460+,0.000007,30,5.9e+11,E,0,4479363,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3d,4P,1/2,,T4764,L2721,
Ti,14,2.2426,0.0010,2.2425*,0.0005,40,,,47219,4506500,2s2.2p5,2P*,1/2,2s2.2p4.(3P).3d,2D,3/2,,,L2721,
Ti,14,2.2486,0.0010,2.2484*,0.0005,15,,,47219,4494800,2s2.2p5,2P*,1/2,2s2.2p4.(3P).3d,2P,1/2,,,L2721,
Ti,14,2.2518,0.0010,2.2516*,0.0005,20,,,47219,4488500,2s2.2p5,2P*,1/2,2s2.2p4.(3P).3d,4P,3/2,,,L2721,
Ti,14,2.3690,0.0010,2.3690*,0.0006,90bl,2.1e+11,E,0,4221200,2s2.2p5,2P*,3/2,2s2.2p4.(1S).3s,2S,1/2,,T4764,L2721,
Ti,14,2.3960,0.0010,2.3958*,0.0006,20,3.7e+11,D,47219,4221200,2s2.2p5,2P*,1/2,2s2.2p4.(1S).3s,2S,1/2,,T4764,L2721,
Ti,14,2.4315,0.0010,2.4315*,0.0006,60,5.0e+11,D,0,4112700,2s2.2p5,2P*,3/2,2s2.2p4.(1D).3s,2D,5/2,,T4764,L2721,
Ti,14,2.4592,0.0010,2.45957*,0.00006,75,6.1e+11,C,0,4065750,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3s,2P,1/2,,T4764,L2721,
Ti,14,2.4592,0.0010,2.458902+,0.000009,75,5.5e+11,D,47219,4114075,2s2.2p5,2P*,1/2,2s2.2p4.(1D).3s,2D,3/2,,T4764,L2721,
Ti,14,2.4728,0.0010,2.47315*,0.00006,70,,,0,4043430,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3s,2P,3/2,,,L2721,
Ti,14,2.4891,0.0010,2.48847*,0.00006,60,7.5e+11,C,47219,4065750,2s2.2p5,2P*,1/2,2s2.2p4.(3P).3s,2P,1/2,,T4764,L2721,
Ti,14,2.4907,0.0010,2.490694+,0.000009,70,,,0,4014945,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3s,4P,3/2,,,L2721,
Ti,14,2.5025,0.0010,2.50237*,0.00006,50,,,47219,4043430,2s2.2p5,2P*,1/2,2s2.2p4.(3P).3s,2P,3/2,,,L2721,
Ti,14,2.5025,0.0010,2.503026+,0.000009,50,1.8e+10,E,0,3995165,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3s,4P,5/2,,T4764,L2721,
Ti,14,2.5071,0.0010,2.50696*,0.00006,4,,,47219,4036120,2s2.2p5,2P*,1/2,2s2.2p4.(3P).3s,4P,1/2,,,L2721,
Ti,14,2.5086,0.0010,2.5086*,0.0006,20,,,819772,4806100,2s.2p6,2S,1/2,2s.2p5.(3P*).3s,2P*,1/2,,,L2721,
Ti,14,2.5206,0.0010,2.520335+,0.000009,6,,,47219,4014945,2s2.2p5,2P*,1/2,2s2.2p4.(3P).3s,4P,3/2,,,L2721,
Ti,14,2.5260,0.0010,2.5260*,0.0006,30,,,819772,4778600,2s.2p6,2S,1/2,2s.2p5.(3P*).3s,2P*,3/2,,,L2721,
