element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Tl,4,53.126,,7,,,,,,,,,,,,,L3577,
Tl,4,57.049,,10,,,,,,,,,,,,,L3577,
Tl,4,59.701,,4,,,,,,,,,,,,,L3577,
Tl,2,65.090,,3,,,,,,,,,,,,,L3272,
Tl,2,67.087,,5r,,,,,,,,,,,,,L3272,
Tl,2,67.410,,4,,,,,,,,,,,,,L3272,
Tl,2,69.630,,15r,,,,,,,,,,,,,L3272,
Tl,2,70.923,,5r,,,,,,,,,,,,,L3272,
Tl,2,81.718,,10r,,,,,,,,,,,,,L3272,
Tl,2,83.634,,5r,,,,,,,,,,,,,L3272,
Tl,4,86.899,,1,,,,,,,,,,,,,L3577,
Tl,4,91.274,,3,,,,,,,,,,,,,L3577,
Tl,4,91.731,,8,,,,,,,,,,,,,L3577,
Tl,2,101.885,,8r,,,,,,,,,,,,,L3272,
Tl,4,102.869,,30,,,,,,,,,,,,,L3577,
Tl,4,103.473,,20,,,,,,,,,,,,,L3577,
Tl,4,103.661,,20,,,,,,,,,,,,,L3577,
Tl,4,104.948,,10,,,,,,,,,,,,,L3577,
Tl,2,104.973,,10r,,,,,,,,,,,,,L3272,
Tl,2,105.030,,8r,,,,,,,,,,,,,L3272,
Tl,4,105.756,,10,,,,,,,,,,,,,L3577,
Tl,4,106.804,,20,,,,,,,,,,,,,L3577,
Tl,4,107.047,,20,,,,,,,,,,,,,L3577,
Tl,2,107.497,,5r,,,,,,,,,,,,,L3272,
Tl,4,107.968,,30,,,,,,,,,,,,,L3577,
Tl,4,107.970,,5,,,,,,,,,,,,,L3577,
Tl,4,109.290,,2,,,,,,,,,,,,,L3577,
Tl,4,109.441,,4,,,,,,,,,,,,,L3577,
Tl,4,109.960,,6,,,,,,,,,,,,,L3577,
Tl,4,112.552,,4,,,,,,,,,,,,,L3577,
Tl,2,113.017,,10r,,,,,,,,,,,,,L3272,
Tl,4,113.930,,5,,,,,,,,,,,,,L3577,
Tl,4,114.407,,3,,,,,,,,,,,,,L3577,
Tl,2,116.255,,15r,,,,,,,,,,,,,L3272,
Tl,2,116.743,,10r,,,,,,,,,,,,,L3272,
Tl,2,118.341,,10r,,,,,,,,,,,,,L3272,
Tl,2,119.484,,12r,,,,,,,,,,,,,L3272,
Tl,4,122.545,,3,,,,,,,,,,,,,L3577,
Tl,3,123.157,,7,,,,,,,,,,,,,L664,
Tl,2,123.181,,8,,,,,,,,,,,,,L3272,
Tl,2,124.600,,5r,,,,,,,,,,,,,L3272,
Tl,3,126.633,,10,,,,,,,,,,,,,L664,
Tl,4,127.303,,6,,,,,,,,,,,,,L3577,
Tl,4,130.455,,3,,,,,,,,,,,,,L3577,
Tl,2,130.750,,15r,,,,,,,,,,,,,L3272,
Tl,2,131.020,,8r,,,,,,,,,,,,,L3272,
Tl,2,132.171,132.16442+,25r,1.69e+09,,0.00,75663.33,5d10.6s2,1S,0,5d10.6s.6p,1P*,1,,T7307,L3272,
Tl,4,132.366,,6,,,,,,,,,,,,,L3577,
Tl,2,133.040,,8r,,,,,,,,,,,,,L3272,
Tl,3,133.236,,4,,,,,,,,,,,,,L664,
Tl,4,133.710,,7,,,,,,,,,,,,,L3577,
Tl,4,135.856,,7,,,,,,,,,,,,,L3577,
Tl,2,137.352,,10r,,,,,,,,,,,,,L3272,
Tl,4,137.462,,5,,,,,,,,,,,,,L3577,
Tl,4,137.775,,7,,,,,,,,,,,,,L3577,
Tl,4,140.460,,8,,,,,,,,,,,,,L3577,
Tl,4,141.293,,5,,,,,,,,,,,,,L3577,
Tl,1,142.32,,1,,,,,,,,,,,,,L611,
Tl,4,143.472,,6,,,,,,,,,,,,,L3577,
Tl,4,144.937,,5,,,,,,,,,,,,,L3577,
Tl,3,147.714,,10,,,,,,,,,,,,,L664,
Tl,1,148.965,,8r,,,,,,,,,,,,,L611,
Tl,2,149.050,,5,,,,,,,,,,,,,L3272,
Tl,2,149.930,,10r,,,,,,,,,,,,,L3272,
Tl,3,150.637,,4,,,,,,,,,,,,,L664,
Tl,2,150.782,,10r,,,,,,,,,,,,,L3272,
Tl,3,155.867,,8,,,,,,,,,,,,,L664,
Tl,2,156.158,,15r,,,,,,,,,,,,,L3272,
Tl,2,156.857,,10r,,,,,,,,,,,,,L3272,
Tl,2,159.326,,7r,,,,,,,,,,,,,L3272,
Tl,1,161.6,,5w,,,,,,,,,,,,,L611,
Tl,1,165.02,,1,,,,,,,,,,,,,L611,
Tl,3,166.005,,8,,,,,,,,,,,,,L664,
Tl,1,168.540,,5,,,,,,,,,,,,,L611,
Tl,1,172.8,,1,,,,,,,,,,,,,L611,
Tl,2,179.276,179.2827+,10r,,,49451.45,105229.28,5d10.6s.6p,3P*,0,5d10.6s.7s,3S,1,,,L3272,
Tl,2,181.485,181.4762+,12r,,,61727.26,116830.90,5d10.6s.6p,3P*,2,5d10.6s.6d,3D,3,,,L3272,
Tl,1,184.7,,3w,,,,,,,,,,,,,L611,
Tl,4,188.32,,5,,,,,,,,,,,,,L3577,
Tl,2,189.272,,8,,,,,,,,,,,,,L3272,
Tl,2,190.864,190.8617+,25r,2.6e+07,,0.00,52393.96,5d10.6s2,1S,0,5d10.6s.6p,3P*,1,,T7307,L3272,
Tl,4,197.46,,3,,,,,,,,,,,,,L3577,
Tl,1,200.756,,100r,,,,,,,,,,,,,L611,
Tl,1,212.928,,1r,5.8e+06,D,,,,,1/2,,,3/2,,T4515,"L7608,L7609",
Tl,1,215.192,,1r,3.1e+06,D,,,,,1/2,,,1/2,,T4515,"L7608,L7609",
Tl,1,216.859,,4r,9.8e+06,D,,,,,1/2,,,3/2,,T4515,"L7608,L7609",
Tl,1,220.975,,2,,,,,,,,,,,,,L611,
Tl,1,221.071,,100r,,,,,,,,,,,,,L611,
Tl,1,223.784,,6r,1.9e+07,D,,,,,1/2,,,3/2,,T4515,L3428,
Tl,1,228.76,,3,,,,,,,,,,,,,L611,
Tl,2,229.804,229.8036+,30,,,61727.26,105229.28,5d10.6s.6p,3P*,2,5d10.6s.7s,3S,1,,,L3272,
Tl,1,231.598,,140,7.8e+06,D,,,,,1/2,,,1/2,,T4515,L3475,
Tl,1,237.969,237.958+,900w,4.4e+07,C,0.0,42011.4,6s2.6p,2P*,1/2,6s2.7d,2D,3/2,,T4515,L3475,
Tl,2,245.183,,8,,,,,,,,,,,,,L3272,
Tl,2,246.903,,6,,,,,,,,,,,,,L3272,
Tl,1,250.794,,1r,1.1e+06,C,,,,,3/2,,,1/2,,T4515,L3428,
Tl,1,250.82,,1,,,,,,,,,,,,,L611,
Tl,2,253.086,253.0739+,20,1.18e+08,,75663.33,115165.60,5d10.6s.6p,1P*,1,5d10.6s.6d,1D,2,,T7307,L3272,
Tl,1,253.818,,2r,1.6e+06,C,,,,,3/2,,,1/2,,T4515,L3428,
Tl,1,258.014,258.015+,700,1.8e+07,D,0.0,38745.9,6s2.6p,2P*,1/2,6s2.8s,2S,1/2,,T4515,L3475,
Tl,1,260.899,,60,1.0e+07,C,,,,,3/2,,,5/2,,T4515,L3475,
Tl,1,260.977,,4r,1.9e+06,C,,,,,3/2,,,3/2,,T4515,L3428,
Tl,1,266.557,,80,5.7e+06,C,,,,,3/2,,,1/2,,T4515,L3475,
Tl,1,270.923,,420,1.7e+07,C,,,,,3/2,,,5/2,,T4515,L3475,
Tl,1,271.067,,50w,3.7e+06,C,,,,,3/2,,,3/2,,T4515,L3475,
Tl,1,276.787,276.789+,4400bl,1.26e+08,C,0.0,36117.9,6s2.6p,2P*,1/2,6s2.6d,2D,3/2,,T4515,L3475,
Tl,1,282.616,,280,8.0e+06,C,,,,,3/2,,,1/2,,T4515,L3475,
Tl,2,284.980,,10,,,,,,,,,,,,,L3272,
