element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),J_i,J_k,Type,tp_ref,line_ref,
U,2,256.541,,440,,,,,,,,,L3475,
U,2,256.971,,340,,,,,,,,,L3475,
U,2,259.125,,340,,,,,,,,,L3475,
U,2,263.553,,610,,,,,,,,,L3475,
U,2,264.547,,470,,,,,,,,,L3475,
U,2,266.917,,340,,,,,,,,,L3475,
U,2,268.328,,470,,,,,,,,,L3475,
U,2,269.104,,320,,,,,,,,,L3475,
U,2,270.695,,370,,,,,,,,,L3475,
U,2,273.397,,370,,,,,,,,,L3475,
U,2,275.416,,470,,,,,,,,,L3475,
U,2,276.285,,340,,,,,,,,,L3475,
U,2,277.004,,390,,,,,,,,,L3475,
U,2,278.445,,410,,,,,,,,,L3475,
U,2,279.394,,830,,,,,,,,,L3475,
U,2,280.256,,870,,,,,,,,,L3475,
U,2,280.705,,630,,,,,,,,,L3475,
U,2,280.898,,440,,,,,,,,,L3475,
U,2,281.796,,630,,,,,,,,,L3475,
U,2,282.112,,870,,,,,,,,,L3475,
U,2,282.437,,390,,,,,,,,,L3475,
U,2,282.890,,680,,,,,,,,,L3475,
U,2,283.206,,920,,,,,,,,,L3475,
U,2,283.719,,360,,,,,,,,,L3475,
U,2,283.989,,460,,,,,,,,,L3475,
U,2,284.209,,360,,,,,,,,,L3475,
U,2,284.948,,360,,,,,,,,,L3475,
U,2,286.047,,390,,,,,,,,,L3475,
U,2,286.568,,970,,,,,,,,,L3475,
U,2,287.097,,340,,,,,,,,,L3475,
U,2,288.274,,490,,,,,,,,,L3475,
U,2,288.725,,460,,,,,,,,,L3475,
U,2,288.826,,410,,,,,,,,,L3475,
U,2,288.962,,1200,,,,,,,,,L3475,
U,2,289.414,,320,,,,,,,,,L3475,
U,2,289.451,,410,,,,,,,,,L3475,
U,2,290.680,,780,,,,,,,,,L3475,
U,2,290.828,,780,,,,,,,,,L3475,
U,2,291.425,,320,,,,,,,,,L3475,
U,2,291.463,,360,,,,,,,,,L3475,
U,2,292.168,,440p,,,,,,,,,L3475,
U,2,292.738,,320,,,,,,,,,L3475,
U,2,292.860,,490,,,,,,,,,L3475,
U,2,293.141,,580,,,,,,,,,L3475,
U,2,293.261,,440,,,,,,,,,L3475,
U,2,293.386,,340,,,,,,,,,L3475,
U,2,294.037,,530p,,,,,,,,,L3475,
U,2,294.192,,1300,,,,,,,,,L3475,
U,2,294.390,,830,,,,,,,,,L3475,
U,2,294.809,,340,,,,,,,,,L3475,
U,2,295.477,,390,,,,,,,,,L3475,
U,2,295.606,,580,,,,,,,,,L3475,
U,2,296.503,,460,,,,,,,,,L3475,
U,2,296.794,,580,,,,,,,,,L3475,
