element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
V,20,1.0838,0.0010,1.0838*,0.0012,1,,,375000,9601800,1s2.2s.2p,3P*,2,1s2.2p.4p,3D,3,,,L4230,
V,20,1.1215,0.0010,1.12150*,0.00018,1,,,303100,9219700,1s2.2s.2p,3P*,0,1s2.2s.4d,3D,1,,,L4230,
V,20,1.1243,0.0010,1.1243*,0.0013,3,,,322600,9217000,1s2.2s.2p,3P*,1,1s2.2s.4d,3D,2,,,L4230,
V,20,1.1308,0.0010,1.1308*,0.0013,2,,,375000,9218300,1s2.2s.2p,3P*,2,1s2.2s.4d,3D,3,,,L4230,
V,20,1.1378,0.0010,1.13780*,0.00018,1,,,856900,9645800,1s2.2p2,3P,1,1s2.2p.4d,1D*,2,,,L4230,
V,20,1.1427,0.0010,1.14270*,0.00018,4bl,,,820100,9571300,1s2.2p2,3P,0,1s2.2p.4d,3D*,1,,,L4230,
V,20,1.1427,0.0010,1.14270*,0.00018,4bl,,,888600,9639800,1s2.2p2,3P,2,1s2.2p.4d,3D*,3,,,L4230,
V,20,1.1427,0.0010,1.14270*,0.00018,4bl,,,888600,9639800,1s2.2p2,3P,2,1s2.2p.4d,3P*,2,,,L4230,
V,20,1.1478,0.0010,1.14780*,0.00019,1,,,856900,9569200,1s2.2p2,3P,1,1s2.2p.4d,3D*,2,,,L4230,
V,20,1.1523,0.0010,1.1523*,0.0013,4,,,888600,9567000,1s2.2p2,3P,2,1s2.2p.4d,3F*,3,,,L4230,
V,20,1.1523,0.0010,1.15230*,0.00019,4,,,982600,9660900,1s2.2p2,1D,2,1s2.2p.4d,1F*,3,,,L4230,
V,20,1.1615,0.0010,1.16149*,0.00019,1,,,627500,9237100,1s2.2s.2p,1P*,1,1s2.2s.4d,1D,2,,,L4230,
V,19,1.4636,0.0010,1.4636*,0.0021,2,,,68610,6901000,2s2.2p,2P*,3/2,2s.2p.(1P*).3p,2D,5/2,,,L2341,
V,19,1.5039,0.0010,1.5039*,0.0023,6,,,68610,6718000,2s2.2p,2P*,3/2,2s.2p.(3P*).3p,2D,5/2,,,L2341,
V,19,1.5333,0.0010,1.533*,0.024,3,,,68610,6590000,2s2.2p,2P*,3/2,2s.2p.(3P*).3p,2P,3/2,,,L2341,
V,19,1.5495,0.0010,1.5495*,0.0024,3,,,605320,7059000,2s.2p2,2D,5/2,2s.2p.(1P*).3d,2F*,7/2,,,L2341,
V,19,1.5560,0.0010,1.5559*,0.0024,3,9.0e+12,D,0,6427000,2s2.2p,2P*,1/2,2s2.3d,2D,3/2,,T5297interp,L2341,
V,14,1.5609,0.0010,1.5608*,0.0024,2,,,0,6407000,2s2.2p6,1S,0,2s2.2p5.(2P*<1/2>).5d,2[3/2]*,1,,,L270,
V,19,1.563,0.010,1.5631*,0.0024,3bl,,,394560+x,6792000+x,2s.2p2,4P,5/2,2s.2p.(3P*).3d,4P*,5/2,,,L2563,
V,19,1.563,0.010,1.5631*,0.0024,3bl,,,394560+x,6792000+x,2s.2p2,4P,5/2,2s.2p.(3P*).3d,4D*,7/2,,,L2563,
V,19,1.5702,0.0010,1.5703*,0.0025,3,1.0e+13,D,68610,6437000,2s2.2p,2P*,3/2,2s2.3d,2D,5/2,,T5297interp,L2341,
V,14,1.5748,0.0010,1.575*,0.025,1,,,0,6350000,2s2.2p6,1S,0,2s2.2p5.(2P*<3/2>).5d,2[3/2]*,1,,,L270,
V,19,1.5924,0.0010,1.592*,0.003,4,,,605320,6885000,2s.2p2,2D,5/2,2s.2p.(3P*).3d,2F*,7/2,,,L2341,
V,19,1.6007,0.0010,1.601*,0.003,4,,,597590,6845000,2s.2p2,2D,3/2,2s.2p.(3P*).3d,2F*,5/2,,,L2341,
V,18,1.6467,0.0010,1.647*,0.003,8,,,160910,6234000,2s2.2p2,1D,2,2s2.2p.3d,1F*,3,,,L1481,
V,18,1.6558,0.0010,1.656*,0.003,7,,,634950,6674000,2s.(2S).2p3.(2D*),3D*,3,2s.2p2.(2D).3d,3F,4,,,L1481,
V,18,1.6787,0.0010,1.679*,0.004,3,,,[269000],6226000,2s2.2p2,1S,0,2s2.2p.3d,1P*,1,,,L3920,
V,14,1.6939,0.0010,1.694*,0.003,5,,,0,5904000,2s2.2p6,1S,0,2s2.2p5.(2P*<1/2>).4d,2[3/2]*,1,,,L270,
V,18,1.7018,0.0010,1.7*,0.3,2,,,623860,6500000,2s.(2S).2p3.(2D*),3D*,2,2s.2p2.(4P).3d,3F,3,,,L1481,
V,14,1.7094,0.0010,1.71*,0.03,4,,,0,5850000,2s2.2p6,1S,0,2s2.2p5.(2P*<3/2>).4d,2[3/2]*,1,,,L270,
V,17,1.7158,0.0010,1.716*,0.003,1,,,0,5828000,2s2.2p3,4S*,3/2,2s2.2p2.(3P).3d,4P,3/2,,,L2341,
V,17,1.7158,0.0010,1.716*,0.003,1,,,0,5828000,2s2.2p3,4S*,3/2,2s2.2p2.(3P).3d,4P,5/2,,,L2341,
V,17,1.716,0.010,1.716*,0.003,1bl,,,120930,5948000,2s2.2p3,2D*,3/2,2s2.2p2.(1D).3d,2F,5/2,,,L2563,
V,17,1.7259,0.0010,1.726*,0.003,6,,,140260,5934000,2s2.2p3,2D*,5/2,2s2.2p2.(1D).3d,2F,7/2,,,L2341,
V,17,1.7373,0.0010,1.737*,0.003,4,,,140260,5897000,2s2.2p3,2D*,5/2,2s2.2p2.(3P).3d,2D,5/2,,,L2341,
V,18,1.7400,0.0010,1.740*,0.003,9bl,,,37960,5786000,2s2.2p2,3P,1,2s2.2p.3s,3P*,2,,,L1481,
V,18,1.7442,0.0010,1.7*,0.3,4,,,[366870],6100000?,2s.(2S).2p3.(4S*),5S*,2,2s.2p2.(4P).3s,5P,3,,,L1481,
V,18,1.7482,0.0010,1.749*,0.003,8bl,,,68190,5786000,2s2.2p2,3P,2,2s2.2p.3s,3P*,2,,,L1481,
V,17,1.7490,0.0010,1.749*,0.003,3,,,240500,5958000,2s2.2p3,2P*,3/2,2s2.2p2.(1D).3d,2D,5/2,,,L2341,
V,17,1.7536,0.0010,1.754*,0.003,3,,,140260,5843000,2s2.2p3,2D*,5/2,2s2.2p2.(3P).3d,2F,7/2,,,L2341,
V,18,1.7545,0.0010,1.7546*,0.0003,2,,,623860,6323300,2s.(2S).2p3.(2D*),3D*,2,2s.2p2.(2D).3s,3D,2,,,L1481,
V,14,1.7575,0.0010,1.76*,0.03,1,,,0,5690000,2s2.2p6,1S,0,2s2.2p5.4s,1P*,1,,,L270,
V,17,1.7644,0.0010,1.764*,0.003,4,,,120930,5789000,2s2.2p3,2D*,3/2,2s2.2p2.(3P).3d,2F,5/2,,,L2341,
V,18,1.7678,0.0010,1.767*,0.003,4bl,,,68190,5726000,2s2.2p2,3P,2,2s2.2p.3s,3P*,1,,,L1481,
V,18,1.7717,0.0010,1.772*,0.003,1,,,160910,5805000,2s2.2p2,1D,2,2s2.2p.3s,1P*,1,,,L1481,
V,14,1.7754,0.0010,1.776*,0.003,1,,,0,5632000,2s2.2p6,1S,0,2s2.2p5.4s,3P*,1,,,L270,
