element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
W,65,0.119116,0.000005,0.119116,0.000005,100,,,0,83952000,2s2.2p6,1S,0,2s2.2p5.(2P*<1/2>).3d,"(1/2,3/2)*",1,,,L11164,
W,65,0.120172,0.000006,0.120172,0.000006,25,,,0,83214000,2s2.2p6,1S,0,2s.2p6.3p,"(1/2,1/2)*",1,,,L11164,
W,47,0.34066,0.00006,0.34066,0.00006,2,,,0,29355000,3p6.3d10,1S,0,3p6.3d9.8f ,"(3/2,5/2)*",1,,,L15201,
W,47,0.34440,0.00006,0.34440,0.00006,2,,,0,29036000,3p6.3d10,1S,0,3p5.3d10.6d,"(3/2,5/2)*",1,,,L15201,
W,47,0.34690,0.00005,0.34690,0.00005,3,,,0,28827000,3p6.3d10,1S,0,3p6.3d9.8f,"(5/2,7/2)*",1,,,L15201,
W,47,0.35524,0.00004,0.35524,0.00004,4,,,0,28150000,3p6.3d10,1S,0,3p6.3d9.7f,"(3/2,5/2)*",1,,,L15201,
W,47,0.35618,0.00007,0.35618,0.00007,1,,,0,28076000,3p6.3d10,1S,0,3p5.3d10.5d,"(1/2,3/2)*",1,,,L15201,
W,47,0.36189,0.00004,0.36189,0.00004,6,,,0,27633000,3p6.3d10,1S,0,3p6.3d9.7f,"(5/2,7/2)*",1,,,L15201,
W,47,0.38033,0.00004,0.38033,0.00004,9,,,0,26293000,3p6.3d10,1S,0,3p6.3d9.6f,"(3/2,5/2)*",1,,,L15201,
W,46,0.38555,0.00006,0.38555,0.00006,8*,,,0,25937000,3d10.4s,2S,1/2,"3d9.4s (3/2,1/2)<2>.6f<5/2>","(2,5/2)*",3/2,,,L15201,
W,46,0.38555,0.00006,0.38555,0.00006,8*,,,0,25937000,3d10.4s,2S,1/2,"3d9.4s (3/2,1/2)<2>.6f<5/2>","(2,5/2)*",1/2,,,L15201,
W,47,0.38784,0.00004,0.38784,0.00004,11,,,0,25784000,3p6.3d10,1S,0,3p6.3d9.6f,"(5/2,7/2)*",1,,,L15201,
W,47,0.38956,0.00005,0.38956,0.00005,4,,,0,25670000,3p6.3d10,1S,0,3p5.3d10.5d,"(3/2,5/2)*",1,,,L15201,
W,45,0.39097,0.00007,0.39098,0.00007,7,,,0,25577000,3d10.4s2,1S,0,3d9.(2D<3/2>).4s2.6f,"(3/2,5/2)*",1,,,L15201,
W,46,0.39329,0.00006,0.39328,0.00006,11*,,,0,25427000,3d10.4s,2S,1/2,"3d9.4s (5/2,1/2)<2>.6f<7/2>","(2,7/2)*",3/2,,,L15201,
W,46,0.39329,0.00006,0.39328,0.00006,11*,,,0,25427000,3d10.4s,2S,1/2,"3d9.4s (5/2,1/2)<3>.6f<7/2>","(3,7/2)*",1/2,,,L15201,
W,44,0.39636,0.00012,0.39635,0.00011,6*,,,0,25230000,3d10.4s2.4p,2P*,1/2,"3d9.4s2.4p.(3/2,1/2)*<1>.6f","(1,5/2)",3/2,,,L15201c89,
W,44,0.39636,0.00012,0.39635,0.00011,6*,,,0,25230000,3d10.4s2.4p,2P*,1/2,"3d9.4s2.4p.(3/2,1/2)*<2>.6f","(2,5/2)",1/2,,,L15201c89,
W,45,0.39895,0.00006,0.39895,0.00006,8,,,0,25066000,3d10.4s2,1S,0,3d9.(2D<5/2>).4s2.6f,"(5/2,7/2)*",1,,,L15201,
W,44,0.40472,0.00012,0.40473,0.00011,5*,,,0,24708000,3d10.4s2.4p,2P*,1/2,"3d9.4s2.4p.(5/2,1/2)*<2>.6f","(2,7/2)",3/2,,,L15201c89,
W,44,0.40472,0.00012,0.40473,0.00011,5*,,,0,24708000,3d10.4s2.4p,2P*,1/2,"3d9.4s2.4p.(5/2,1/2)*<3>.6f","(3,7/2)",1/2,,,L15201c89,
W,48,0.4174,0.0002,0.41741,0.00020,15,,,538590,24496000,3p6.3d9,2D,3/2,3p6.3d8.(1S<0>).5f,"(0,5/2)*",5/2,,,L10172,
W,48,0.41916,0.00006,0.41916,0.00006,60*,,,0,23857000,3p6.3d9,2D,5/2,3p6.3d8.(1G<4>).5f,"(4,5/2)*",5/2,,,L15201,
W,48,0.41916,0.00006,0.41916,0.00006,60*,,,0,23857000,3p6.3d9,2D,5/2,3p6.3d8.(3P<1>).5f,"(1,5/2)*",7/2,,,L15201,
W,48,0.41916,0.00006,0.41916,0.00006,60*,,,0,23857000,3p6.3d9,2D,5/2,3p6.3d8.(1G<4>).5f,"(4,5/2)*",3/2,,,L15201,
