element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Xe,44,0.2564,0.0010,,5,,,,,,,,,,,,,L5415,
Xe,44,0.2567,0.0010,,5,,,,,,,,,,,,,L5415,
Xe,44,0.2578,0.0010,,2w,,,,,,,,,,,,,L5415,
Xe,44,0.2732,0.0010,,4,,,,,,,,,,,,,L5415,
Xe,44,0.2736,0.0010,,4,,,,,,,,,,,,,L5415,
Xe,44,0.2739,0.0010,,3,,,,,,,,,,,,,L5415,
Xe,44,0.2752,0.0010,,5w,,,,,,,,,,,,,L5415,
Xe,27,1.4247,0.0020,1.4247*,70,,,0,7019000,3p6.3d10,1S,0,3p6.3d9.4f,1P*,1,,,L6463,
Xe,27,1.4618,0.0020,1.4618*,20,,,0,6841000,3p6.3d10,1S,0,3p6.3d9.4f,3D*,1,,,L6463,
Xe,27,1.83255,0.00005,1.83255*,40,,,0,5456880,3p6.3d10,1S,0,3p6.3d9.4p,3D*,1,,,L9247,
Xe,27,1.86702,0.00005,1.86702*,70,,,0,5356130,3p6.3d10,1S,0,3p6.3d9.4p,1P*,1,,,L9247,
Xe,27,1.88295,0.00005,1.88295*,30,,,0,5310820,3p6.3d10,1S,0,3p6.3d9.4p,3P*,1,,,L9247,
Xe,26,1.9137,0.0020,1.9137*,5,,,0,5225500,3d10.4s,2S,1/2,3d9.4s.4p,2P*,1/2,,,L6463,
Xe,26,3.4380,0.0020,3.4386*,5,,,574917.,3483100,3d10.4p,2P*,3/2,3d10.5d,2D,5/2,,,L6463,
Xe,26,3.561,0.002,3.5610*,1,,,2034900,4843100,3d10.4f,2F*,5/2,3d10.6g,2G,7/2,,,L6463,
Xe,26,3.5660,0.0020,3.5660*,5w,,,2039070,4843300,3d10.4f,2F*,7/2,3d10.6g,2G,9/2,,,L6463,
Xe,26,3.9410,0.0020,3.9408*,10bl,,,1268220,3805800,3d10.4d,2D,3/2,3d10.5f,2F*,5/2,,,L6463,
Xe,29,3.9410,0.0020,3.94100*,10bl,,,101720,2639150,3p6.3d3<3/2>.3d5<5/2>,"(3/2,5/2)",3,3p5.3d9,"(1/2,5/2)*",3,,,L6463,
Xe,29,4.0335,0.0020,4.03349*,10,,,101720,2580960,3p6.3d3<3/2>.3d5<5/2>,"(3/2,5/2)",3,3p5.3d9,"(1/2,5/2)*",2,,,L6463,
Xe,28,4.0490,0.0020,4.04840*,30,,,109340,2579450,3p6.3d9,2D,3/2,3p5.3d10,2P*,1/2,,,L6463,
Xe,26,4.0731,0.0020,4.0705*,100bl,,,427411.,2884100,3d10.4p,2P*,1/2,3d10.5s,2S,1/2,,,L6463,
Xe,29,4.0731,0.0020,4.07305*,100bl,,,183990,2639150,3p6.3d3<3/2>.3d5<5/2>,"(3/2,5/2)",4,3p5.3d9,"(1/2,5/2)*",3,,,L6463,
Xe,29,4.1540,0.0020,4.15400*,5,,,173640,2580960,3p6.3d3<3/2>.3d5<5/2>,"(3/2,5/2)",1,3p5.3d9,"(1/2,5/2)*",2,,,L6463,
Xe,29,4.2310,0.0020,4.2310*,5,,,241330+x,2604840+x,3p6.3d2<3/2>.3d6<5/2>,"(2,0)",2,3p5.3d9,"(1/2,3/2)*",2,,,L6463,
Xe,26,4.3315,0.0020,4.3305*,15,,,574917.,2884100,3d10.4p,2P*,3/2,3d10.5s,2S,1/2,,,L6463,
Xe,29,4.5730,0.0020,4.57379*,15,,,0,2186370,3p6.3d4<3/2>.3d4<5/2>,"(0,4)",4,3p5.3d9,"(3/2,3/2)*",3,,,L6463,
Xe,29,4.6615,0.0020,4.6615*,5w,,,46620,2191850,3p6.3d4<3/2>.3d4<5/2>,"(0,2)",2,3p5.3d9,"(3/2,3/2)*",1,,,L6463,
Xe,29,4.7970,0.0020,4.7970*,10,,,101720,2186370,3p6.3d3<3/2>.3d5<5/2>,"(3/2,5/2)",3,3p5.3d9,"(3/2,3/2)*",3,,,L6463,
Xe,29,4.8115,0.0020,4.8115*,5,,,46620,2124970,3p6.3d4<3/2>.3d4<5/2>,"(0,2)",2,3p5.3d9,"(3/2,5/2)*",1,,,L6463,
Xe,29,4.8525,0.0020,4.85251*,50,,,0,2060790,3p6.3d4<3/2>.3d4<5/2>,"(0,4)",4,3p5.3d9,"(3/2,5/2)*",3,,,L6463,
Xe,28,4.8640,0.0020,4.86341*,100,,,0,2056170,3p6.3d9,2D,5/2,3p5.3d10,2P*,3/2,,,L6463,
Xe,29,4.8875,0.0020,4.8875*,5,,,145810,2191850,3p6.3d3<3/2>.3d5<5/2>,"(3/2,5/2)",2,3p5.3d9,"(3/2,3/2)*",1,,,L6463,
Xe,29,4.9125,0.0020,4.9125*,20,,,101720,2137340,3p6.3d3<3/2>.3d5<5/2>,"(3/2,5/2)",3,3p5.3d9,"(3/2,3/2)*",2,,,L6463,
Xe,29,4.9940,0.0020,4.9941*,15,,,183990,2186370,3p6.3d3<3/2>.3d5<5/2>,"(3/2,5/2)",4,3p5.3d9,"(3/2,3/2)*",3,,,L6463,
Xe,29,5.1085,0.0020,5.1085*,50,,,0,1957520,3p6.3d4<3/2>.3d4<5/2>,"(0,4)",4,3p5.3d9,"(3/2,5/2)*",4,,,L6463,
Xe,29,5.1285,0.0020,5.1285*,20w,,,46620,1996510,3p6.3d4<3/2>.3d4<5/2>,"(0,2)",2,3p5.3d9,"(3/2,5/2)*",2,,,L6463,
Xe,28,5.1355,0.0020,5.1366*,10,,,109340,2056170,3p6.3d9,2D,3/2,3p5.3d10,2P*,3/2,,,L6463,
Xe,29,5.2220,0.0020,5.2220*,5,,,145810,2060790,3p6.3d3<3/2>.3d5<5/2>,"(3/2,5/2)",2,3p5.3d9,"(3/2,5/2)*",3,,,L6463,
Xe,26,5.2615,0.0020,5.263*,"10w,bl",,,2034900,3934900,3d10.4f,2F*,5/2,3d10.5g,2G,7/2,,,L6463,
Xe,26,5.2710,0.0020,5.272*,30bl,,,2039070,3935900,3d10.4f,2F*,7/2,3d10.5g,2G,9/2,,,L6463,
Xe,29,5.3885,0.0020,5.3885*,5,,,101720,1957520,3p6.3d3<3/2>.3d5<5/2>,"(3/2,5/2)",3,3p5.3d9,"(3/2,5/2)*",4,,,L6463,
Xe,26,5.4030,0.0020,5.399*,10,,,1297510,3149700,3d10.4d,2D,5/2,3d10.5p,2P*,3/2,,,L6463,
Xe,26,5.5145,0.0020,5.510*,10,,,1268220,3083100,3d10.4d,2D,3/2,3d10.5p,2P*,1/2,,,L6463,
Xe,9,8.5420,0.0006,8.54201+,3,,,0,1170685,4d10,1S,0,4d9.6f,1P*,1,,,L11883,
Xe,9,8.7517,0.0006,8.75170+,2,,,0,1142635,4d10,1S,0,4d9.7p,1P*,1,,,L11883,
Xe,9,8.8444,0.0006,8.8444*,5?,,,0,1130660,4d10,1S,0,4d9.7p,3P*,1,,,L11883,
