element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Y,7,15.7364,0.0005,15.73619,0.00020,10,3.e+08,E,0.0,635478,4s2.4p3,4S*,3/2,4s2.4p2.(1D<2>).6s,2[2],5/2,,T9865,L20372,
Y,7,16.1789,0.0005,16.1788,0.0004,100,5.e+09,E,42364.7,660459,4s2.4p3,2P*,1/2,4s2.4p2.(1S<0>).6s,2[0],1/2,,T9865,L20372,
Y,7,16.1967,0.0005,16.1967,0.0003,6000,5.1e+09,D,0.0,617410,4s2.4p3,4S*,3/2,4s2.4p2.(3P<2>).6s,2[2],5/2,,T9865,L20372,
Y,7,16.2798,0.0005,16.27976,0.00020,500,3.6e+09,E,21610.5,635870,4s2.4p3,2D*,3/2,4s2.4p2.(1D<2>).6s,2[2],3/2,,T9865,L20372,
Y,7,16.2901,0.0005,16.2902,0.0003,400,2.0e+09,E,21610.5,635478,4s2.4p3,2D*,3/2,4s2.4p2.(1D<2>).6s,2[2],5/2,,T9865,L20372,
Y,7,16.3619,0.0005,16.3620,0.0004,200,6.e+09,E,49288.2,660459,4s2.4p3,2P*,3/2,4s2.4p2.(1S<0>).6s,2[0],1/2,,T9865,L20372,
Y,7,16.3784,0.0005,16.37835,0.00020,2500,5.e+09,D,0.0,610562,4s2.4p3,4S*,3/2,4s2.4p2.(3P<1>).6s,2[1],3/2,,T9865,L20372,
Y,7,16.4002,0.0005,16.4002,0.0003,20,6.e+08,E,26120.4,635870,4s2.4p3,2D*,5/2,4s2.4p2.(1D<2>).6s,2[2],3/2,,T9865,L20372,
Y,7,16.4108,0.0005,16.4107,0.0003,3000,6.e+09,D+,26120.4,635478,4s2.4p3,2D*,5/2,4s2.4p2.(1D<2>).6s,2[2],5/2,,T9865,L20372,
Y,7,16.6059,0.0005,16.6057,0.0003,1500,5.e+09,E,0.0,602202,4s2.4p3,4S*,3/2,4s2.4p2.(3P<0>).6s,2[0],1/2,,T9865,L20372,
Y,7,16.7443,0.0005,16.74432,0.00020,200,1.1e+09,E,21610.5,618828,4s2.4p3,2D*,3/2,4s2.4p2.(3P<2>).6s,2[2],3/2,,T9865,L20372,
Y,7,16.8491,0.0005,16.8490,0.0003,20,6.e+08,E,42364.7,635870,4s2.4p3,2P*,1/2,4s2.4p2.(1D<2>).6s,2[2],3/2,,T9865,L20372,
Y,7,16.8716,0.0005,16.8717,0.0003,5000,1.1e+10,D+,26120.4,618828,4s2.4p3,2D*,5/2,4s2.4p2.(3P<2>).6s,2[2],3/2,,T9865,L20372,
Y,7,16.9122,0.0005,16.9122,0.0004,500,1.3e+09,E,26120.4,617410,4s2.4p3,2D*,5/2,4s2.4p2.(3P<2>).6s,2[2],5/2,,T9865,L20372,
Y,7,16.9364,0.0005,16.9363,0.0004,2500,1.1e+10,D,21610.5,612058,4s2.4p3,2D*,3/2,4s2.4p2.(3P<1>).6s,2[1],1/2,,T9865,L20372,
Y,7,16.9793,0.0005,16.97933,0.00020,50,2.3e+08,E,21610.5,610562,4s2.4p3,2D*,3/2,4s2.4p2.(3P<1>).6s,2[1],3/2,,T9865,L20372,
Y,7,17.0478,0.0005,17.0479,0.0003,2500,7.e+09,D,49288.2,635870,4s2.4p3,2P*,3/2,4s2.4p2.(1D<2>).6s,2[2],3/2,,T9865,L20372,
Y,7,17.0591,0.0005,17.0593,0.0003,400,1.3e+09,E,49288.2,635478,4s2.4p3,2P*,3/2,4s2.4p2.(1D<2>).6s,2[2],5/2,,T9865,L20372,
Y,7,17.1103,0.0005,17.11035,0.00020,300,8.e+08,E,26120.4,610562,4s2.4p3,2D*,5/2,4s2.4p2.(3P<1>).6s,2[1],3/2,,T9865,L20372,
Y,7,17.2237,0.0005,17.2238,0.0003,500,3.4e+09,E,21610.5,602202,4s2.4p3,2D*,3/2,4s2.4p2.(3P<0>).6s,2[0],1/2,,T9865,L20372,
Y,7,17.3472,0.0005,17.3472,0.0003,600,2.5e+09,E,42364.7,618828,4s2.4p3,2P*,1/2,4s2.4p2.(3P<2>).6s,2[2],3/2,,T9865,L20372,
Y,7,17.5532,0.0005,17.5533,0.0004,500,3.1e+09,E,42364.7,612058,4s2.4p3,2P*,1/2,4s2.4p2.(3P<1>).6s,2[1],1/2,,T9865,L20372,
Y,7,17.5581,0.0005,17.5580,0.0003,600,2.2e+09,E,49288.2,618828,4s2.4p3,2P*,3/2,4s2.4p2.(3P<2>).6s,2[2],3/2,,T9865,L20372,
Y,7,17.5996,0.0005,17.59952,0.00020,1,5.e+07,E,42364.7,610562,4s2.4p3,2P*,1/2,4s2.4p2.(3P<1>).6s,2[1],3/2,,T9865,L20372,
Y,7,17.8166,0.0005,17.81662,0.00020,2,6.e+07,E,49288.2,610562,4s2.4p3,2P*,3/2,4s2.4p2.(3P<1>).6s,2[1],3/2,,T9865,L20372,
Y,7,17.8623,0.0005,17.8623,0.0003,2,5.e+08,E,42364.7,602202,4s2.4p3,2P*,1/2,4s2.4p2.(3P<0>).6s,2[0],1/2,,T9865,L20372,
Y,5,18.4144,0.0007,18.4144,0.0005,1,2.8e+07,E,0.0,543052,4s2.4p5,2P*,3/2,4s2.4p4.(1S<0>).6d?,2[2],3/2,,T9678,L19755,
Y,5,18.7849,0.0007,18.7849,0.0007,25,9.95e+08,,12460.1,544803?,4s2.4p5,2P*,1/2,4s2.4p4.(1S<0>).7s?,2[0],1/2,,T9678,L19755,
Y,5,18.8469,0.0007,18.8469,0.0005,3,9.28e+08,,12460.1,543052,4s2.4p5,2P*,1/2,4s2.4p4.(1S<0>).6d?,2[2],3/2,,T9678,L19755,
Y,5,19.1571,0.0007,19.1571,0.0007,50,1.29e+09,,0.0,522000?,4s2.4p5,2P*,3/2,4s2.4p4.(1D<2>).7s?,2[2],5/2,,T9678,L19755,
Y,5,19.3843,0.0007,19.3843,0.0005,3,1.2e+08,E,0.0,515882,4s2.4p5,2P*,3/2,4s2.4p4.(1D<2>).6d?,2[1],1/2,,T9678,L19755,
Y,5,19.3888,0.0007,19.3888,0.0007,3,3.65e+08,,0.0,515762?,4s2.4p5,2P*,3/2,4s2.4p4.(1D<2>).6d?,2[2],5/2,,T9678,L19755,
Y,5,19.4165,0.0007,19.4171,0.0006,10,6.48e+08,,0.0,515011,4s2.4p5,2P*,3/2,4s2.4p4.(1D<2>).6d?,2[2],3/2,,T9678,L19755,
Y,5,19.4457,0.0007,19.4457,0.0005,10,2.49e+09,,0.0,514253,4s2.4p5,2P*,3/2,4s2.4p4.(1D<2>).6d?,2[0],1/2,,T9678,L19755,
Y,5,19.6148,0.0007,19.6149,0.0005,30,2.10e+09,,0.0,509817,4s2.4p5,2P*,3/2,4s2.4p4.(3P<1>).7s?,2[1],1/2,,T9678,L19755,
Y,5,19.6206,0.0007,19.6206,0.0007,25,1.41e+09,,12460.1,522129?,4s2.4p5,2P*,1/2,4s2.4p4.(1D<2>).7s?,2[2],3/2,,T9678,L19755,
