element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Yb,4,82.896,,200,,,,,,,,,,,,,L4317,
Yb,4,87.035,,200,,,,,,,,,,,,,L4317,
Yb,4,90.246,,300,,,,,,,,,,,,,L4317,
Yb,4,92.701,,300,,,,,,,,,,,,,L4317,
Yb,4,93.622,,300,,,,,,,,,,,,,L4317,
Yb,4,94.304,,400,,,,,,,,,,,,,L4317,
Yb,4,94.620,,400,,,,,,,,,,,,,L4317,
Yb,3,96.846,,5,,,,,,,,,,,,,L7342,
Yb,3,97.316,,20,,,,,,,,,,,,,L7342,
Yb,4,97.521,,200,,,,,,,,,,,,,L4317,
Yb,3,99.456,,10,,,,,,,,,,,,,L7342,
Yb,4,105.024,,1000,,,,,,,,,,,,,L4317,
Yb,4,105.446,,1000,,,,,,,,,,,,,L4317,
Yb,4,109.251,,400,,,,,,,,,,,,,L4317,
Yb,4,110.996,,200,,,,,,,,,,,,,L4317,
Yb,4,111.055,,200,,,,,,,,,,,,,L4317,
Yb,4,113.443,,5000,,,,,,,,,,,,,L4317,
Yb,4,113.624,,300,,,,,,,,,,,,,L4317,
Yb,4,116.601,,500,,,,,,,,,,,,,L4317,
Yb,4,118.558,,600,,,,,,,,,,,,,L4317,
Yb,4,129.024,,200,,,,,,,,,,,,,L4317,
Yb,4,130.558,,600,,,,,,,,,,,,,L4317,
Yb,4,131.604,,900,,,,,,,,,,,,,L4317,
Yb,4,132.632,,200,,,,,,,,,,,,,L4317,
Yb,4,132.636,,800,,,,,,,,,,,,,L4317,
Yb,4,134.006,,200,,,,,,,,,,,,,L4317,
Yb,4,134.536,,300,,,,,,,,,,,,,L4317,
Yb,4,135.026,,900,,,,,,,,,,,,,L4317,
Yb,4,135.343,,200,,,,,,,,,,,,,L4317,
Yb,4,135.615,,400,,,,,,,,,,,,,L4317,
Yb,4,136.175,,200,,,,,,,,,,,,,L4317,
Yb,4,136.588,,300,,,,,,,,,,,,,L4317,
Yb,4,136.972,,300,,,,,,,,,,,,,L4317,
Yb,4,137.542,,400,,,,,,,,,,,,,L4317,
Yb,4,137.666,,300,,,,,,,,,,,,,L4317,
Yb,4,138.441,,200,,,,,,,,,,,,,L4317,
Yb,4,139.393,,250,,,,,,,,,,,,,L4317,
Yb,4,139.877,,350,,,,,,,,,,,,,L4317,
Yb,4,140.705,,400,,,,,,,,,,,,,L4317,
Yb,4,141.314,,300,,,,,,,,,,,,,L4317,
Yb,4,141.615,,400,,,,,,,,,,,,,L4317,
Yb,4,141.772,,400,,,,,,,,,,,,,L4317,
Yb,4,142.399,,200,,,,,,,,,,,,,L4317,
Yb,4,143.029,,300,,,,,,,,,,,,,L4317,
Yb,4,144.061,,200,,,,,,,,,,,,,L4317,
Yb,4,147.792,,400,,,,,,,,,,,,,L4317,
Yb,4,149.157,,300,,,,,,,,,,,,,L4317,
Yb,3,156.066,,10,,,,,,,,,,,,,L7342,
Yb,3,156.142,,80,,,,,,,,,,,,,L7342,
Yb,3,166.960,,30,,,,,,,,,,,,,L7342,
Yb,3,167.078,,50,,,,,,,,,,,,,L7342,
Yb,3,171.982,,50,,,,,,,,,,,,,L7342,
Yb,3,173.918,,60,,,,,,,,,,,,,L7342,
Yb,3,176.280,,70,,,,,,,,,,,,,L7342,
Yb,4,176.503,,400,,,,,,,,,,,,,L4317,
Yb,3,176.521,,80w,,,,,,,,,,,,,L7342,
Yb,3,177.529,,65,,,,,,,,,,,,,L7342,
Yb,4,177.618,,200,,,,,,,,,,,,,L4317,
Yb,4,177.820,,200,,,,,,,,,,,,,L4317,
Yb,4,177.934,,200,,,,,,,,,,,,,L4317,
Yb,3,177.974,,70,,,,,,,,,,,,,L7342,
Yb,3,178.131,,70,,,,,,,,,,,,,L7342,
Yb,4,178.971,,300,,,,,,,,,,,,,L4317,
Yb,4,179.106,,800,,,,,,,,,,,,,L4317,
Yb,3,179.370,,20,,,,,,,,,,,,,L7342,
Yb,3,179.885,,60,,,,,,,,,,,,,L7342,
Yb,4,180.167,,200,,,,,,,,,,,,,L4317,
Yb,4,180.963,,250,,,,,,,,,,,,,L4317,
Yb,3,181.088,,65,,,,,,,,,,,,,L7342,
Yb,4,181.384,,600,,,,,,,,,,,,,L4317,
Yb,4,181.607,,400,,,,,,,,,,,,,L4317,
Yb,4,181.758,,250,,,,,,,,,,,,,L4317,
Yb,4,181.902,,300,,,,,,,,,,,,,L4317,
Yb,4,182.422,,200,,,,,,,,,,,,,L4317,
Yb,3,182.641,,60,,,,,,,,,,,,,L7342,
Yb,3,182.677,,20,,,,,,,,,,,,,L7342,
Yb,3,183.801,,30,,,,,,,,,,,,,L7342,
Yb,3,184.730,,30,,,,,,,,,,,,,L7342,
Yb,3,184.924,,30,,,,,,,,,,,,,L7342,
Yb,3,184.942,,10,,,,,,,,,,,,,L7342,
Yb,3,185.236,,75,,,,,,,,,,,,,L7342,
Yb,3,185.294,,75,,,,,,,,,,,,,L7342,
Yb,3,185.480,,90,,,,,,,,,,,,,L7342,
Yb,3,185.716,,80,,,,,,,,,,,,,L7342,
Yb,3,186.332,,100,,,,,,,,,,,,,L7342,
Yb,3,186.485,,5,,,,,,,,,,,,,L7342,
Yb,3,186.723,,10,,,,,,,,,,,,,L7342,
Yb,3,186.763,,10,,,,,,,,,,,,,L7342,
Yb,3,186.819,,10,,,,,,,,,,,,,L7342,
Yb,3,186.892,,5,,,,,,,,,,,,,L7342,
Yb,3,187.007,,10,,,,,,,,,,,,,L7342,
Yb,3,187.083,,15,,,,,,,,,,,,,L7342,
Yb,3,187.115,,10,,,,,,,,,,,,,L7342,
Yb,3,187.203,,200,,,,,,,,,,,,,L7342,
Yb,3,187.391,,800,,,,,,,,,,,,,L7342,
Yb,3,187.541,,100,,,,,,,,,,,,,L7342,
