element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Zn,4,41.267,0.010,,,30,,,,,,,,,,,,,L3581,
Zn,4,42.342,0.010,,,30,,,,,,,,,,,,,L3581,
Zn,4,42.354,0.010,,,50,,,,,,,,,,,,,L3581,
Zn,4,42.590,0.010,,,200,,,,,,,,,,,,,L3581,
Zn,4,42.854,0.010,,,200,,,,,,,,,,,,,L3581,
Zn,4,42.879,0.010,,,80,,,,,,,,,,,,,L3581,
Zn,4,42.930,0.010,,,150,,,,,,,,,,,,,L3581,
Zn,4,43.059,0.010,,,200,,,,,,,,,,,,,L3581,
Zn,4,43.154,0.010,,,150,,,,,,,,,,,,,L3581,
Zn,4,43.162,0.010,,,120,,,,,,,,,,,,,L3581,
Zn,4,43.441,0.010,,,10,,,,,,,,,,,,,L3581,
Zn,4,43.502,0.010,,,150,,,,,,,,,,,,,L3581,
Zn,4,43.576,0.010,,,150,,,,,,,,,,,,,L3581,
Zn,4,43.625,0.010,,,80,,,,,,,,,,,,,L3581,
Zn,4,43.638,0.010,,,30,,,,,,,,,,,,,L3581,
Zn,4,43.682,0.010,,,50,,,,,,,,,,,,,L3581,
Zn,4,44.115,0.010,,,50,,,,,,,,,,,,,L3581,
Zn,4,44.152,0.010,,,20,,,,,,,,,,,,,L3581,
Zn,4,44.156,0.010,,,20,,,,,,,,,,,,,L3581,
Zn,4,44.170,0.010,,,100,,,,,,,,,,,,,L3581,
Zn,4,44.239,0.010,,,200,,,,,,,,,,,,,L3581,
Zn,4,44.439,0.010,,,150,,,,,,,,,,,,,L3581,
Zn,4,44.446,0.010,,,100,,,,,,,,,,,,,L3581,
Zn,4,44.658,0.010,,,100,,,,,,,,,,,,,L3581,
Zn,4,44.785,0.010,,,30,,,,,,,,,,,,,L3581,
Zn,4,44.913,0.010,,,10,,,,,,,,,,,,,L3581,
Zn,4,44.998,0.010,,,200,,,,,,,,,,,,,L3581,
Zn,4,45.099,0.010,,,200,,,,,,,,,,,,,L3581,
Zn,4,45.162,0.010,,,30,,,,,,,,,,,,,L3581,
Zn,4,45.280,0.010,,,20,,,,,,,,,,,,,L3581,
Zn,4,45.667,0.010,,,80,,,,,,,,,,,,,L3581,
Zn,4,45.732,0.010,,,150,,,,,,,,,,,,,L3581,
Zn,4,46.693,0.010,,,200,,,,,,,,,,,,,L3581,
Zn,4,46.843,0.010,,,150,,,,,,,,,,,,,L3581,
Zn,4,47.209,0.010,,,200,,,,,,,,,,,,,L3581,
Zn,4,47.266,0.010,,,200,,,,,,,,,,,,,L3581,
Zn,4,47.302,0.010,,,200,,,,,,,,,,,,,L3581,
Zn,4,47.351,0.010,,,200,,,,,,,,,,,,,L3581,
Zn,4,47.456,0.010,,,200,,,,,,,,,,,,,L3581,
Zn,4,47.578,0.010,,,50,,,,,,,,,,,,,L3581,
Zn,4,47.642,0.010,,,200,,,,,,,,,,,,,L3581,
Zn,4,47.865,0.010,,,200,,,,,,,,,,,,,L3581,
Zn,4,47.890,0.010,,,200,,,,,,,,,,,,,L3581,
Zn,4,48.210,0.010,,,200,,,,,,,,,,,,,L3581,
Zn,4,48.268,0.010,,,10,,,,,,,,,,,,,L3581,
Zn,4,48.548,0.010,,,10,,,,,,,,,,,,,L3581,
Zn,4,48.919,0.010,,,10,,,,,,,,,,,,,L3581,
Zn,4,49.096,0.010,,,10,,,,,,,,,,,,,L3581,
Zn,4,49.337,0.010,,,10,,,,,,,,,,,,,L3581,
