element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Zr,6,16.5930,0.0005,16.59308,0.00014,5,1.1e+09,D+,0.0,602661,4s2.4p5,2P*,3/2,4s2.4p4.(1S<0>).6s,2[0],1/2,,T9568,L19460,
Zr,6,17.0342,0.0005,17.03409,0.00015,6,3.2e+09,D+,15602.8,602661,4s2.4p5,2P*,1/2,4s2.4p4.(1S<0>).6s,2[0],1/2,,T9568,L19460,
Zr,6,17.4066,0.0005,17.40659,0.00003,6,4.1e+08,D+,0.0,574494.9,4s2.4p5,2P*,3/2,4s2.4p4.(1S<0>).5d,2[2],5/2,,T9568,L19460,
Zr,6,17.4489,0.0005,17.44891,0.00003,70,3.8e+09,D+,0.0,573101.8,4s2.4p5,2P*,3/2,4s2.4p4.(1D<2>).6s,2[2],5/2,,T9568,L19460,
Zr,6,17.8236,0.0005,17.82371,0.00003,50,4.5e+09,D+,0.0,561050.3,4s2.4p5,2P*,3/2,4s2.4p4.(3P<1>).6s,2[1],1/2,,T9568,L19460,
Zr,6,17.8776,0.0005,17.87769,0.00003,60,2.1e+09,D+,0.0,559356.5,4s2.4p5,2P*,3/2,4s2.4p4.(3P<1>).6s,2[1],3/2,,T9568,L19460,
Zr,6,17.8794,0.0005,17.87993,0.00003,30,1.5e+09,D+,15602.8,574889.1,4s2.4p5,2P*,1/2,4s2.4p4.(1S<0>).5d,2[2],3/2,,T9568,L19460,
Zr,6,17.9144,0.0005,17.91445,0.00003,10,6.e+08,E,0.0,558208.7,4s2.4p5,2P*,3/2,4s2.4p4.(3P<0>).6s,2[0],1/2,,T9568,L19460,
Zr,6,17.9308,0.0005,17.93084,0.00003,70,5.4e+09,D+,15602.8,573301.1,4s2.4p5,2P*,1/2,4s2.4p4.(1D<2>).6s,2[2],3/2,,T9568,L19460,
Zr,6,18.2213,0.0005,18.22139,0.00003,30,8.e+08,D+,0.0,548805.5,4s2.4p5,2P*,3/2,4s2.4p4.(1D<2>).5d,2[2],3/2,,T9568,L19460,
Zr,6,18.2550,0.0005,18.2551,0.0003,20,2.1e+09,D+,0.0,547791,4s2.4p5,2P*,3/2,4s2.4p4.(1D<2>).5d,2[1],1/2,,T9568,L19460,
Zr,6,18.2657,0.0005,18.26578,0.00003,90,4.7e+09,D+,0.0,547471.9,4s2.4p5,2P*,3/2,4s2.4p4.(3P<2>).6s,2[2],3/2,,T9568,L19460,
Zr,6,18.2744,0.0005,18.27439,0.00003,80,2.2e+09,D+,0.0,547213.9,4s2.4p5,2P*,3/2,4s2.4p4.(1D<2>).5d,2[3],5/2,,T9568,L19460,
Zr,6,18.3262,0.0005,18.32623,0.00004,70,1.6e+09,D+,0.0,545666.1,4s2.4p5,2P*,3/2,4s2.4p4.(1D<2>).5d,2[2],5/2,,T9568,L19460,
Zr,6,18.3336,0.0015,18.33357,0.00004,60*,5.4e+09,D+,15602.8,561050.3,4s2.4p5,2P*,1/2,4s2.4p4.(3P<1>).6s,2[1],1/2,,T9568,L19460,
Zr,6,18.3336,0.0015,18.33471,0.00004,60*,3.9e+08,D+,0.0,545413.5,4s2.4p5,2P*,3/2,4s2.4p4.(3P<2>).6s,2[2],5/2,,T9568,L19460,
Zr,6,18.3680,0.0005,18.3681,0.0003,90,9.e+09,D+,0.0,544423,4s2.4p5,2P*,3/2,4s2.4p4.(1D<2>).5d,2[1],3/2,,T9568,L19460,
Zr,6,18.3908,0.0005,18.39068,0.00004,5,3.0e+08,E,15602.8,559356.5,4s2.4p5,2P*,1/2,4s2.4p4.(3P<1>).6s,2[1],3/2,,T9568,L19460,
